BlockType,BlockLabel,BlockInstructions
SILENT,while you wait silently,wait silently
HANDS,with hand drumming,perform a simple drumming exercise with your hands
FEET,with foot drumming,perform a simple drumming exercise with your feet
ARTICULATION,while repeating a syllable,"repeat the syllable ""bla"" continuously"
