type,verb,category,category_lowercase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,armleg_loop.thisRepN,armleg_loop.thisTrialN,armleg_loop.thisN,armleg_loop.thisIndex,rating.response,rating.rt,date,frameRate,expName,participant,
arm,NIP,Leg,leg,0,0,0,17,0,0,0,0,2,13.16,2018_Oct_22_1334,59.6175100231,verb_norming_L1-eng_no-translation,701,
arm,NIP,Arm,arm,0,0,0,17,0,1,1,1,7,5.866,2018_Oct_22_1334,59.6175100231,verb_norming_L1-eng_no-translation,701,
arm,NIP,,,0,0,0,17,,,,,,,2018_Oct_22_1334,59.6175100231,verb_norming_L1-eng_no-translation,701,
arm,SNATCH,Leg,leg,0,1,1,33,0,0,0,0,1,11.362,2018_Oct_22_1334,59.6175100231,verb_norming_L1-eng_no-translation,701,
arm,SNATCH,Arm,arm,0,1,1,33,0,1,1,1,7,3.081,2018_Oct_22_1334,59.6175100231,verb_norming_L1-eng_no-translation,701,
arm,SNATCH,,,0,1,1,33,,,,,,,2018_Oct_22_1334,59.6175100231,verb_norming_L1-eng_no-translation,701,
arm,PULL,Leg,leg,0,2,2,24,0,0,0,0,3,7.572,2018_Oct_22_1334,59.6175100231,verb_norming_L1-eng_no-translation,701,
arm,PULL,Arm,arm,0,2,2,24,0,1,1,1,7,2.629,2018_Oct_22_1334,59.6175100231,verb_norming_L1-eng_no-translation,701,
arm,PULL,,,0,2,2,24,,,,,,,2018_Oct_22_1334,59.6175100231,verb_norming_L1-eng_no-translation,701,
arm,STIR,Leg,leg,0,3,3,35,0,0,0,0,1,6.399,2018_Oct_22_1334,59.6175100231,verb_norming_L1-eng_no-translation,701,
arm,STIR,Arm,arm,0,3,3,35,0,1,1,1,7,3.569,2018_Oct_22_1334,59.6175100231,verb_norming_L1-eng_no-translation,701,
arm,STIR,,,0,3,3,35,,,,,,,2018_Oct_22_1334,59.6175100231,verb_norming_L1-eng_no-translation,701,
arm,PEEL,Leg,leg,0,4,4,19,0,0,0,0,1,6.014,2018_Oct_22_1334,59.6175100231,verb_norming_L1-eng_no-translation,701,
arm,PEEL,Arm,arm,0,4,4,19,0,1,1,1,7,2.696,2018_Oct_22_1334,59.6175100231,verb_norming_L1-eng_no-translation,701,
arm,PEEL,,,0,4,4,19,,,,,,,2018_Oct_22_1334,59.6175100231,verb_norming_L1-eng_no-translation,701,
leg,STRUT,Leg,leg,0,5,5,69,0,0,0,0,7,4.067,2018_Oct_22_1334,59.6175100231,verb_norming_L1-eng_no-translation,701,
leg,STRUT,Arm,arm,0,5,5,69,0,1,1,1,4,4.725,2018_Oct_22_1334,59.6175100231,verb_norming_L1-eng_no-translation,701,
leg,STRUT,,,0,5,5,69,,,,,,,2018_Oct_22_1334,59.6175100231,verb_norming_L1-eng_no-translation,701,
leg,TIPTOE,Leg,leg,0,6,6,71,0,0,0,0,7,4.016,2018_Oct_22_1334,59.6175100231,verb_norming_L1-eng_no-translation,701,
leg,TIPTOE,Arm,arm,0,6,6,71,0,1,1,1,2,3.45,2018_Oct_22_1334,59.6175100231,verb_norming_L1-eng_no-translation,701,
leg,TIPTOE,,,0,6,6,71,,,,,,,2018_Oct_22_1334,59.6175100231,verb_norming_L1-eng_no-translation,701,
leg,RUSH,Leg,leg,0,7,7,56,0,0,0,0,7,6.785,2018_Oct_22_1334,59.6175100231,verb_norming_L1-eng_no-translation,701,
leg,RUSH,Arm,arm,0,7,7,56,0,1,1,1,3,5.363,2018_Oct_22_1334,59.6175100231,verb_norming_L1-eng_no-translation,701,
leg,RUSH,,,0,7,7,56,,,,,,,2018_Oct_22_1334,59.6175100231,verb_norming_L1-eng_no-translation,701,
leg,JUMP,Leg,leg,0,8,8,46,0,0,0,0,7,4.938,2018_Oct_22_1334,59.6175100231,verb_norming_L1-eng_no-translation,701,
leg,JUMP,Arm,arm,0,8,8,46,0,1,1,1,1,2.998,2018_Oct_22_1334,59.6175100231,verb_norming_L1-eng_no-translation,701,
leg,JUMP,,,0,8,8,46,,,,,,,2018_Oct_22_1334,59.6175100231,verb_norming_L1-eng_no-translation,701,
leg,TRIP,Leg,leg,0,9,9,73,0,0,0,0,7,5.578,2018_Oct_22_1334,59.6175100231,verb_norming_L1-eng_no-translation,701,
leg,TRIP,Arm,arm,0,9,9,73,0,1,1,1,1,4.625,2018_Oct_22_1334,59.6175100231,verb_norming_L1-eng_no-translation,701,
leg,TRIP,,,0,9,9,73,,,,,,,2018_Oct_22_1334,59.6175100231,verb_norming_L1-eng_no-translation,701,
arm,CUT,Leg,leg,0,10,10,7,0,0,0,0,2,19.968,2018_Oct_22_1334,59.6175100231,verb_norming_L1-eng_no-translation,701,
arm,CUT,Arm,arm,0,10,10,7,0,1,1,1,7,4.423,2018_Oct_22_1334,59.6175100231,verb_norming_L1-eng_no-translation,701,
arm,CUT,,,0,10,10,7,,,,,,,2018_Oct_22_1334,59.6175100231,verb_norming_L1-eng_no-translation,701,
leg,SNEAK,Leg,leg,0,11,11,60,0,0,0,0,6,8.815,2018_Oct_22_1334,59.6175100231,verb_norming_L1-eng_no-translation,701,
leg,SNEAK,Arm,arm,0,11,11,60,0,1,1,1,1,3.4,2018_Oct_22_1334,59.6175100231,verb_norming_L1-eng_no-translation,701,
leg,SNEAK,,,0,11,11,60,,,,,,,2018_Oct_22_1334,59.6175100231,verb_norming_L1-eng_no-translation,701,
leg,PEDAL,Leg,leg,0,12,12,53,0,0,0,0,7,5.122,2018_Oct_22_1334,59.6175100231,verb_norming_L1-eng_no-translation,701,
leg,PEDAL,Arm,arm,0,12,12,53,0,1,1,1,1,2.444,2018_Oct_22_1334,59.6175100231,verb_norming_L1-eng_no-translation,701,
leg,PEDAL,,,0,12,12,53,,,,,,,2018_Oct_22_1334,59.6175100231,verb_norming_L1-eng_no-translation,701,
leg,STRAY,Leg,leg,0,13,13,66,0,0,0,0,4,10.424,2018_Oct_22_1334,59.6175100231,verb_norming_L1-eng_no-translation,701,
leg,STRAY,Arm,arm,0,13,13,66,0,1,1,1,4,1.858,2018_Oct_22_1334,59.6175100231,verb_norming_L1-eng_no-translation,701,
leg,STRAY,,,0,13,13,66,,,,,,,2018_Oct_22_1334,59.6175100231,verb_norming_L1-eng_no-translation,701,
leg,MARCH,Leg,leg,0,14,14,51,0,0,0,0,7,3.968,2018_Oct_22_1334,59.6175100231,verb_norming_L1-eng_no-translation,701,
leg,MARCH,Arm,arm,0,14,14,51,0,1,1,1,2,2.881,2018_Oct_22_1334,59.6175100231,verb_norming_L1-eng_no-translation,701,
leg,MARCH,,,0,14,14,51,,,,,,,2018_Oct_22_1334,59.6175100231,verb_norming_L1-eng_no-translation,701,
leg,ROAM,Leg,leg,0,15,15,54,0,0,0,0,4,5.091,2018_Oct_22_1334,59.6175100231,verb_norming_L1-eng_no-translation,701,
leg,ROAM,Arm,arm,0,15,15,54,0,1,1,1,4,1.64,2018_Oct_22_1334,59.6175100231,verb_norming_L1-eng_no-translation,701,
leg,ROAM,,,0,15,15,54,,,,,,,2018_Oct_22_1334,59.6175100231,verb_norming_L1-eng_no-translation,701,
leg,WALK,Leg,leg,0,16,16,77,0,0,0,0,7,3.565,2018_Oct_22_1334,59.6175100231,verb_norming_L1-eng_no-translation,701,
leg,WALK,Arm,arm,0,16,16,77,0,1,1,1,1,3.485,2018_Oct_22_1334,59.6175100231,verb_norming_L1-eng_no-translation,701,
leg,WALK,,,0,16,16,77,,,,,,,2018_Oct_22_1334,59.6175100231,verb_norming_L1-eng_no-translation,701,
arm,CLICK,Leg,leg,0,17,17,6,0,0,0,0,1,4.789,2018_Oct_22_1334,59.6175100231,verb_norming_L1-eng_no-translation,701,
arm,CLICK,Arm,arm,0,17,17,6,0,1,1,1,7,5.06,2018_Oct_22_1334,59.6175100231,verb_norming_L1-eng_no-translation,701,
arm,CLICK,,,0,17,17,6,,,,,,,2018_Oct_22_1334,59.6175100231,verb_norming_L1-eng_no-translation,701,
arm,CHOP,Leg,leg,0,18,18,3,0,0,0,0,1,4.99,2018_Oct_22_1334,59.6175100231,verb_norming_L1-eng_no-translation,701,
arm,CHOP,Arm,arm,0,18,18,3,0,1,1,1,7,1.975,2018_Oct_22_1334,59.6175100231,verb_norming_L1-eng_no-translation,701,
arm,CHOP,,,0,18,18,3,,,,,,,2018_Oct_22_1334,59.6175100231,verb_norming_L1-eng_no-translation,701,
arm,WHIP,Leg,leg,0,19,19,38,0,0,0,0,1,5.309,2018_Oct_22_1334,59.6175100231,verb_norming_L1-eng_no-translation,701,
arm,WHIP,Arm,arm,0,19,19,38,0,1,1,1,7,1.875,2018_Oct_22_1334,59.6175100231,verb_norming_L1-eng_no-translation,701,
arm,WHIP,,,0,19,19,38,,,,,,,2018_Oct_22_1334,59.6175100231,verb_norming_L1-eng_no-translation,701,
leg,FLEE,Leg,leg,0,20,20,41,0,0,0,0,7,4.085,2018_Oct_22_1334,59.6175100231,verb_norming_L1-eng_no-translation,701,
leg,FLEE,Arm,arm,0,20,20,41,0,1,1,1,1,2.445,2018_Oct_22_1334,59.6175100231,verb_norming_L1-eng_no-translation,701,
leg,FLEE,,,0,20,20,41,,,,,,,2018_Oct_22_1334,59.6175100231,verb_norming_L1-eng_no-translation,701,
leg,PACE,Leg,leg,0,21,21,52,0,0,0,0,7,4.857,2018_Oct_22_1334,59.6175100231,verb_norming_L1-eng_no-translation,701,
