type,verb,category,category_lowercase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,armleg_loop.thisRepN,armleg_loop.thisTrialN,armleg_loop.thisN,armleg_loop.thisIndex,rating.response,rating.rt,date,frameRate,expName,participant,
leg,PEDAL,,,0,67,67,53,,,,,,,2018_Nov_01_1331,60.0702012431,verb_norming_L1-eng_no-translation,704,
leg,JUMP,Arm,arm,0,68,68,46,0,0,0,0,1,3.401,2018_Nov_01_1331,60.0702012431,verb_norming_L1-eng_no-translation,704,
leg,JUMP,Leg,leg,0,68,68,46,0,1,1,1,7,2.738,2018_Nov_01_1331,60.0702012431,verb_norming_L1-eng_no-translation,704,
leg,JUMP,,,0,68,68,46,,,,,,,2018_Nov_01_1331,60.0702012431,verb_norming_L1-eng_no-translation,704,
leg,HIKE,Arm,arm,0,69,69,43,0,0,0,0,3,29.346,2018_Nov_01_1331,60.0702012431,verb_norming_L1-eng_no-translation,704,
leg,HIKE,Leg,leg,0,69,69,43,0,1,1,1,7,1.691,2018_Nov_01_1331,60.0702012431,verb_norming_L1-eng_no-translation,704,
leg,HIKE,,,0,69,69,43,,,,,,,2018_Nov_01_1331,60.0702012431,verb_norming_L1-eng_no-translation,704,
arm,WIPE,Arm,arm,0,70,70,39,0,0,0,0,7,3.619,2018_Nov_01_1331,60.0702012431,verb_norming_L1-eng_no-translation,704,
arm,WIPE,Leg,leg,0,70,70,39,0,1,1,1,1,1.871,2018_Nov_01_1331,60.0702012431,verb_norming_L1-eng_no-translation,704,
arm,WIPE,,,0,70,70,39,,,,,,,2018_Nov_01_1331,60.0702012431,verb_norming_L1-eng_no-translation,704,
arm,FOLD,Arm,arm,0,71,71,9,0,0,0,0,7,5.07,2018_Nov_01_1331,60.0702012431,verb_norming_L1-eng_no-translation,704,
arm,FOLD,Leg,leg,0,71,71,9,0,1,1,1,2,2.523,2018_Nov_01_1331,60.0702012431,verb_norming_L1-eng_no-translation,704,
arm,FOLD,,,0,71,71,9,,,,,,,2018_Nov_01_1331,60.0702012431,verb_norming_L1-eng_no-translation,704,
arm,DIG,Arm,arm,0,72,72,8,0,0,0,0,7,2.82,2018_Nov_01_1331,60.0702012431,verb_norming_L1-eng_no-translation,704,
arm,DIG,Leg,leg,0,72,72,8,0,1,1,1,2,3.507,2018_Nov_01_1331,60.0702012431,verb_norming_L1-eng_no-translation,704,
arm,DIG,,,0,72,72,8,,,,,,,2018_Nov_01_1331,60.0702012431,verb_norming_L1-eng_no-translation,704,
leg,SLIP,Arm,arm,0,73,73,59,0,0,0,0,3,5.018,2018_Nov_01_1331,60.0702012431,verb_norming_L1-eng_no-translation,704,
leg,SLIP,Leg,leg,0,73,73,59,0,1,1,1,7,1.792,2018_Nov_01_1331,60.0702012431,verb_norming_L1-eng_no-translation,704,
leg,SLIP,,,0,73,73,59,,,,,,,2018_Nov_01_1331,60.0702012431,verb_norming_L1-eng_no-translation,704,
arm,POKE,Arm,arm,0,74,74,22,0,0,0,0,7,3.77,2018_Nov_01_1331,60.0702012431,verb_norming_L1-eng_no-translation,704,
arm,POKE,Leg,leg,0,74,74,22,0,1,1,1,1,5.657,2018_Nov_01_1331,60.0702012431,verb_norming_L1-eng_no-translation,704,
arm,POKE,,,0,74,74,22,,,,,,,2018_Nov_01_1331,60.0702012431,verb_norming_L1-eng_no-translation,704,
leg,HOP,Arm,arm,0,75,75,44,0,0,0,0,1,4.152,2018_Nov_01_1331,60.0702012431,verb_norming_L1-eng_no-translation,704,
leg,HOP,Leg,leg,0,75,75,44,0,1,1,1,7,4.475,2018_Nov_01_1331,60.0702012431,verb_norming_L1-eng_no-translation,704,
leg,HOP,,,0,75,75,44,,,,,,,2018_Nov_01_1331,60.0702012431,verb_norming_L1-eng_no-translation,704,
arm,CLEAN,Arm,arm,0,76,76,5,0,0,0,0,7,2.749,2018_Nov_01_1331,60.0702012431,verb_norming_L1-eng_no-translation,704,
arm,CLEAN,Leg,leg,0,76,76,5,0,1,1,1,1,5.453,2018_Nov_01_1331,60.0702012431,verb_norming_L1-eng_no-translation,704,
arm,CLEAN,,,0,76,76,5,,,,,,,2018_Nov_01_1331,60.0702012431,verb_norming_L1-eng_no-translation,704,
leg,TRAMPLE,Arm,arm,0,77,77,72,0,0,0,0,1,4.184,2018_Nov_01_1331,60.0702012431,verb_norming_L1-eng_no-translation,704,
leg,TRAMPLE,Leg,leg,0,77,77,72,0,1,1,1,7,3.637,2018_Nov_01_1331,60.0702012431,verb_norming_L1-eng_no-translation,704,
leg,TRAMPLE,,,0,77,77,72,,,,,,,2018_Nov_01_1331,60.0702012431,verb_norming_L1-eng_no-translation,704,
leg,STRIDE,Arm,arm,0,78,78,67,0,0,0,0,1,8.467,2018_Nov_01_1331,60.0702012431,verb_norming_L1-eng_no-translation,704,
leg,STRIDE,Leg,leg,0,78,78,67,0,1,1,1,7,1.971,2018_Nov_01_1331,60.0702012431,verb_norming_L1-eng_no-translation,704,
leg,STRIDE,,,0,78,78,67,,,,,,,2018_Nov_01_1331,60.0702012431,verb_norming_L1-eng_no-translation,704,
leg,MARCH,Arm,arm,0,79,79,51,0,0,0,0,2,7.885,2018_Nov_01_1331,60.0702012431,verb_norming_L1-eng_no-translation,704,
leg,MARCH,Leg,leg,0,79,79,51,0,1,1,1,7,2.107,2018_Nov_01_1331,60.0702012431,verb_norming_L1-eng_no-translation,704,
leg,MARCH,,,0,79,79,51,,,,,,,2018_Nov_01_1331,60.0702012431,verb_norming_L1-eng_no-translation,704,
