type,verb,category,category_lowercase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,armleg_loop.thisRepN,armleg_loop.thisTrialN,armleg_loop.thisN,armleg_loop.thisIndex,rating.response,rating.rt,date,frameRate,expName,participant,
arm,CHOP,Arm,arm,0,24,24,3,0,0,0,0,7,2.654,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
arm,CHOP,Leg,leg,0,24,24,3,0,1,1,1,1,3.596,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
arm,CHOP,,,0,24,24,3,,,,,,,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
leg,HIKE,Arm,arm,0,25,25,43,0,0,0,0,2,6.004,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
leg,HIKE,Leg,leg,0,25,25,43,0,1,1,1,7,5.454,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
leg,HIKE,,,0,25,25,43,,,,,,,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
leg,TRAMPLE,Arm,arm,0,26,26,72,0,0,0,0,1,4.527,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
leg,TRAMPLE,Leg,leg,0,26,26,72,0,1,1,1,7,3.057,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
leg,TRAMPLE,,,0,26,26,72,,,,,,,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
leg,STOMP,Arm,arm,0,27,27,65,0,0,0,0,1,2.856,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
leg,STOMP,Leg,leg,0,27,27,65,0,1,1,1,7,2.506,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
leg,STOMP,,,0,27,27,65,,,,,,,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
arm,CUT,Arm,arm,0,28,28,7,0,0,0,0,5,8.388,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
arm,CUT,Leg,leg,0,28,28,7,0,1,1,1,1,2.484,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
arm,CUT,,,0,28,28,7,,,,,,,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
arm,PULL,Arm,arm,0,29,29,24,0,0,0,0,6,4.248,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
arm,PULL,Leg,leg,0,29,29,24,0,1,1,1,1,5.695,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
arm,PULL,,,0,29,29,24,,,,,,,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
leg,KICK,Arm,arm,0,30,30,47,0,0,0,0,1,3.981,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
leg,KICK,Leg,leg,0,30,30,47,0,1,1,1,7,2.558,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
leg,KICK,,,0,30,30,47,,,,,,,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
arm,WASH,Arm,arm,0,31,31,37,0,0,0,0,6,4.919,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
arm,WASH,Leg,leg,0,31,31,37,0,1,1,1,1,4.37,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
arm,WASH,,,0,31,31,37,,,,,,,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
arm,PAT,Arm,arm,0,32,32,18,0,0,0,0,7,3.596,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
arm,PAT,Leg,leg,0,32,32,18,0,1,1,1,1,2.555,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
arm,PAT,,,0,32,32,18,,,,,,,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
arm,STAB,Arm,arm,0,33,33,34,0,0,0,0,6,4.458,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
arm,STAB,Leg,leg,0,33,33,34,0,1,1,1,1,2.703,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
arm,STAB,,,0,33,33,34,,,,,,,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
leg,STRUT,Arm,arm,0,34,34,69,0,0,0,0,2,6.425,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
leg,STRUT,Leg,leg,0,34,34,69,0,1,1,1,6,4.131,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
leg,STRUT,,,0,34,34,69,,,,,,,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
leg,TRUDGE,Arm,arm,0,35,35,75,0,0,0,0,2,6.257,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
leg,TRUDGE,Leg,leg,0,35,35,75,0,1,1,1,7,1.811,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
leg,TRUDGE,,,0,35,35,75,,,,,,,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
arm,STIR,Arm,arm,0,36,36,35,0,0,0,0,7,4.399,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
arm,STIR,Leg,leg,0,36,36,35,0,1,1,1,1,3.444,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
arm,STIR,,,0,36,36,35,,,,,,,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
arm,CLEAN,Arm,arm,0,37,37,5,0,0,0,0,5,6.425,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
arm,CLEAN,Leg,leg,0,37,37,5,0,1,1,1,1,2.167,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
arm,CLEAN,,,0,37,37,5,,,,,,,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
leg,WALK,Arm,arm,0,38,38,77,0,0,0,0,1,5.722,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
leg,WALK,Leg,leg,0,38,38,77,0,1,1,1,7,2.738,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
leg,WALK,,,0,38,38,77,,,,,,,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
arm,DIG,Arm,arm,0,39,39,8,0,0,0,0,4,5.398,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
arm,DIG,Leg,leg,0,39,39,8,0,1,1,1,1,4.281,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
arm,DIG,,,0,39,39,8,,,,,,,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
arm,HUG,Arm,arm,0,40,40,15,0,0,0,0,7,2.513,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
arm,HUG,Leg,leg,0,40,40,15,0,1,1,1,1,3.225,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
arm,HUG,,,0,40,40,15,,,,,,,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
leg,STRAY,Arm,arm,0,41,41,66,0,0,0,0,1,3.389,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
leg,STRAY,Leg,leg,0,41,41,66,0,1,1,1,5,4.468,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
leg,STRAY,,,0,41,41,66,,,,,,,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
arm,SNATCH,Arm,arm,0,42,42,33,0,0,0,0,6,2.749,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
arm,SNATCH,Leg,leg,0,42,42,33,0,1,1,1,1,2.488,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
arm,SNATCH,,,0,42,42,33,,,,,,,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
arm,CLAP,Arm,arm,0,43,43,4,0,0,0,0,7,2.264,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
arm,CLAP,Leg,leg,0,43,43,4,0,1,1,1,1,2.356,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
arm,CLAP,,,0,43,43,4,,,,,,,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
leg,JOG,Arm,arm,0,44,44,45,0,0,0,0,3,4.679,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
leg,JOG,Leg,leg,0,44,44,45,0,1,1,1,7,2.472,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
leg,JOG,,,0,44,44,45,,,,,,,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
leg,PACE,Arm,arm,0,45,45,52,0,0,0,0,1,6.424,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
leg,PACE,Leg,leg,0,45,45,52,0,1,1,1,5,2.334,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
leg,PACE,,,0,45,45,52,,,,,,,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
arm,THROW,Arm,arm,0,46,46,36,0,0,0,0,7,2.967,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
arm,THROW,Leg,leg,0,46,46,36,0,1,1,1,1,1.616,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
arm,THROW,,,0,46,46,36,,,,,,,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
leg,SQUAT,Arm,arm,0,47,47,62,0,0,0,0,1,6.387,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
leg,SQUAT,Leg,leg,0,47,47,62,0,1,1,1,5,5.166,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
leg,SQUAT,,,0,47,47,62,,,,,,,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
