type,word1,word2,word3,word4,BlockType,Effector,BlockLabel,BlockInstructions,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,word_presentation_practice.thisRepN,word_presentation_practice.thisTrialN,word_presentation_practice.thisN,word_presentation_practice.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,training_block.thisRepN,training_block.thisTrialN,training_block.thisN,training_block.thisIndex,word_presentation_training.thisRepN,word_presentation_training.thisTrialN,word_presentation_training.thisN,word_presentation_training.thisIndex,word_presentation.thisRepN,word_presentation.thisTrialN,word_presentation.thisN,word_presentation.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_8.keys,key_resp_8.rt,key_resp_15.keys,key_resp_15.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,date,frameRate,expName,session,participant,
training,sigh,thank,yell,lick,,,,,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,space,9.55971830519,,,,,,,,,2018_Oct_23_1510,59.6384415124,sheb_replication_1810,2,702,
training,print,stare,ruin,like,,,,,0,0,0,0,0,1,1,3,,,,,,,,,,,,,,,,,space,9.12360102823,,,,,,,,,2018_Oct_23_1510,59.6384415124,sheb_replication_1810,2,702,
training,wait,look,bless,chew,,,,,0,0,0,0,0,2,2,0,,,,,,,,,,,,,,,,,space,4.86392428821,,,,,,,,,2018_Oct_23_1510,59.6384415124,sheb_replication_1810,2,702,
training,stay,blush,save,soothe,,,,,0,0,0,0,0,3,3,1,,,,,,,,,,,,,,,,,space,6.1887706117,,,,,,,,,2018_Oct_23_1510,59.6384415124,sheb_replication_1810,2,702,
training,yell,print,lick,look,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,space,18.0961079683,s,6.60874780617,return,242.859264012,space,6.60773910041,,,2018_Oct_23_1510,59.6384415124,sheb_replication_1810,2,702,
training,thank,chew,blush,wait,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,1,1,1,,,,,space,4.26073641448,,,,,,,,,2018_Oct_23_1510,59.6384415124,sheb_replication_1810,2,702,
training,like,soothe,bless,stay,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,2,2,3,,,,,space,5.3502611256,,,,,,,,,2018_Oct_23_1510,59.6384415124,sheb_replication_1810,2,702,
training,stare,sigh,ruin,save,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,3,3,2,,,,,space,15.9326739277,,,,,,,,,2018_Oct_23_1510,59.6384415124,sheb_replication_1810,2,702,
,,,,,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,p,26.1126546149,,,,,,,2018_Oct_23_1510,59.6384415124,sheb_replication_1810,2,702,
training,like,soothe,bless,stay,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,1,0,1,0,0,0,0,3,,,,,space,4.44476891431,,,,,,,,,2018_Oct_23_1510,59.6384415124,sheb_replication_1810,2,702,
training,yell,print,lick,look,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,1,0,1,0,0,1,1,0,,,,,space,3.28626737776,,,,,,,,,2018_Oct_23_1510,59.6384415124,sheb_replication_1810,2,702,
training,thank,chew,blush,wait,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,1,0,1,0,0,2,2,1,,,,,space,4.44486176425,,,,,,,,,2018_Oct_23_1510,59.6384415124,sheb_replication_1810,2,702,
training,stare,sigh,ruin,save,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,1,0,1,0,0,3,3,2,,,,,space,5.51838665553,,,,,,,,,2018_Oct_23_1510,59.6384415124,sheb_replication_1810,2,702,
leg,flee,wander,sprint,slip,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,0,0,0,0,space,6.65833401159,s,10.3139413963,,,,,space,2.8010550122,2018_Oct_23_1510,59.6384415124,sheb_replication_1810,2,702,
leg,pedal,hop,rush,cycle,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,0,1,1,1,space,5.28337164545,,,,,,,,,2018_Oct_23_1510,59.6384415124,sheb_replication_1810,2,702,
arm,peel,slap,pinch,pat,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,0,2,2,2,space,5.5348914209,,,,,,,,,2018_Oct_23_1510,59.6384415124,sheb_replication_1810,2,702,
leg,wade,bounce,kick,strut,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,0,3,3,3,space,7.51449249021,,,,,,,,,2018_Oct_23_1510,59.6384415124,sheb_replication_1810,2,702,
leg,limp,march,step,skate,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,0,4,4,4,space,6.50867218288,,,,,,,,,2018_Oct_23_1510,59.6384415124,sheb_replication_1810,2,702,
leg,stray,stomp,run,hike,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,0,5,5,5,space,9.29138637186,,,,,,,,,2018_Oct_23_1510,59.6384415124,sheb_replication_1810,2,702,
arm,wipe,dig,squeeze,snatch,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,0,6,6,6,space,13.3159469546,,,,,,,,,2018_Oct_23_1510,59.6384415124,sheb_replication_1810,2,702,
leg,jog,trip,glide,skip,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,0,7,7,7,space,10.5657634279,,,,,,,,,2018_Oct_23_1510,59.6384415124,sheb_replication_1810,2,702,
leg,stroll,stand,stride,dance,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,0,8,8,8,space,7.51311870645,,,,,,,,,2018_Oct_23_1510,59.6384415124,sheb_replication_1810,2,702,
arm,catch,poke,whip,chop,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,0,9,9,9,space,9.9795358768,,,,,,,,,2018_Oct_23_1510,59.6384415124,sheb_replication_1810,2,702,
arm,shake,pluck,pull,sign,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,0,10,10,10,space,12.6452101688,,,,,,,,,2018_Oct_23_1510,59.6384415124,sheb_replication_1810,2,702,
arm,grab,rub,throw,scrape,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,0,11,11,11,space,7.46327765762,,,,,,,,,2018_Oct_23_1510,59.6384415124,sheb_replication_1810,2,702,
leg,kneel,trample,jump,tiptoe,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,0,12,12,12,space,9.22430447505,,,,,,,,,2018_Oct_23_1510,59.6384415124,sheb_replication_1810,2,702,
arm,knock,clap,polish,scrub,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,0,13,13,13,space,6.94344056775,,,,,,,,,2018_Oct_23_1510,59.6384415124,sheb_replication_1810,2,702,
arm,push,fold,gesture,scoop,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,0,14,14,14,space,11.3541789973,,,,,,,,,2018_Oct_23_1510,59.6384415124,sheb_replication_1810,2,702,
arm,clean,scratch,brush,punch,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,0,15,15,15,space,16.4363096936,,,,,,,,,2018_Oct_23_1510,59.6384415124,sheb_replication_1810,2,702,
leg,tramp,stumble,trek,walk,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,0,16,16,16,space,11.9916201956,,,,,,,,,2018_Oct_23_1510,59.6384415124,sheb_replication_1810,2,702,
arm,click,stab,bind,hug,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,0,17,17,17,space,9.34262530592,,,,,,,,,2018_Oct_23_1510,59.6384415124,sheb_replication_1810,2,702,
arm,wrap,carve,dunk,grip,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,0,18,18,18,space,16.0670724143,,,,,,,,,2018_Oct_23_1510,59.6384415124,sheb_replication_1810,2,702,
leg,squat,slide,sneak,leap,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,0,19,19,19,space,8.67072769844,,,,,,,,,2018_Oct_23_1510,59.6384415124,sheb_replication_1810,2,702,
,,,,,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,2018_Oct_23_1510,59.6384415124,sheb_replication_1810,2,702,
training,chew,stay,look,ruin,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,1,1,1,0,0,0,0,0,0,0,2,,,,,space,5.23281584975,,,return,240.159187836,space,32.9558551952,,,2018_Oct_23_1510,59.6384415124,sheb_replication_1810,2,702,
training,wait,like,print,blush,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,1,1,1,0,0,0,0,0,1,1,1,,,,,space,6.69175484775,,,,,,,,,2018_Oct_23_1510,59.6384415124,sheb_replication_1810,2,702,
training,save,lick,soothe,yell,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,1,1,1,0,0,0,0,0,2,2,0,,,,,space,10.263562213,,,,,,,,,2018_Oct_23_1510,59.6384415124,sheb_replication_1810,2,702,
training,sigh,bless,stare,thank,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,1,1,1,0,0,0,0,0,3,3,3,,,,,space,8.67081304135,,,,,,,,,2018_Oct_23_1510,59.6384415124,sheb_replication_1810,2,702,
arm,punch,pat,clap,bind,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,1,1,1,0,0,0,0,,,,,0,0,0,0,space,14.3898531233,s,70.8745660748,,,,,space,2.34822277343,2018_Oct_23_1510,59.6384415124,sheb_replication_1810,2,702,
leg,stumble,tiptoe,skate,strut,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,1,1,1,0,0,0,0,,,,,0,1,1,1,space,23.6987288648,,,,,,,,,2018_Oct_23_1510,59.6384415124,sheb_replication_1810,2,702,
arm,pull,clean,sign,whip,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,1,1,1,0,0,0,0,,,,,0,2,2,2,space,24.435543583,,,,,,,,,2018_Oct_23_1510,59.6384415124,sheb_replication_1810,2,702,
arm,hug,pluck,chop,catch,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,1,1,1,0,0,0,0,,,,,0,3,3,3,space,30.6071136475,,,,,,,,,2018_Oct_23_1510,59.6384415124,sheb_replication_1810,2,702,
arm,scoop,polish,peel,throw,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,1,1,1,0,0,0,0,,,,,0,4,4,4,space,21.1483081954,,,,,,,,,2018_Oct_23_1510,59.6384415124,sheb_replication_1810,2,702,
leg,slide,slip,limp,wade,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,1,1,1,0,0,0,0,,,,,0,5,5,5,space,23.6139387096,,,,,,,,,2018_Oct_23_1510,59.6384415124,sheb_replication_1810,2,702,
