type,word1,word2,word3,word4,BlockType,Effector,BlockLabel,BlockInstructions,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,word_presentation_practice.thisRepN,word_presentation_practice.thisTrialN,word_presentation_practice.thisN,word_presentation_practice.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,training_block.thisRepN,training_block.thisTrialN,training_block.thisN,training_block.thisIndex,word_presentation_training.thisRepN,word_presentation_training.thisTrialN,word_presentation_training.thisN,word_presentation_training.thisIndex,word_presentation.thisRepN,word_presentation.thisTrialN,word_presentation.thisN,word_presentation.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_8.keys,key_resp_8.rt,key_resp_15.keys,key_resp_15.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,date,frameRate,expName,session,participant,
training,like,chew,look,ruin,,,,,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,space,5.77008301603,,,,,,,,,2018_Oct_05_1305,59.6191236711,sheb_replication_1810,1,991,
training,stare,wait,stay,blush,,,,,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,space,22.4402453301,,,,,,,,,2018_Oct_05_1305,59.6191236711,sheb_replication_1810,1,991,
training,thank,soothe,bless,sigh,,,,,0,0,0,0,0,2,2,3,,,,,,,,,,,,,,,,,space,3.90898581051,,,,,,,,,2018_Oct_05_1305,59.6191236711,sheb_replication_1810,1,991,
training,save,lick,print,yell,,,,,0,0,0,0,0,3,3,1,,,,,,,,,,,,,,,,,space,2.75063780222,,,,,,,,,2018_Oct_05_1305,59.6191236711,sheb_replication_1810,1,991,
training,look,blush,thank,ruin,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,2,,,,,space,6.52449448963,s,5.55194379043,return,523.203588208,space,25.3412440433,,,2018_Oct_05_1305,59.6191236711,sheb_replication_1810,1,991,
training,stare,save,chew,like,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,1,1,1,,,,,space,2.80146166055,,,,,,,,,2018_Oct_05_1305,59.6191236711,sheb_replication_1810,1,991,
training,lick,soothe,wait,sigh,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,2,2,0,,,,,space,4.00893772593,,,,,,,,,2018_Oct_05_1305,59.6191236711,sheb_replication_1810,1,991,
training,bless,stay,yell,print,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,3,3,3,,,,,space,5.23318017651,,,,,,,,,2018_Oct_05_1305,59.6191236711,sheb_replication_1810,1,991,
arm,grip,punch,gesture,pinch,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,space,5.03193139986,s,20.3438229097,,,,,space,3.00268831118,2018_Oct_05_1305,59.6191236711,sheb_replication_1810,1,991,
leg,stand,squat,flee,stroll,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,1,1,1,space,4.32753183875,,,,,,,,,2018_Oct_05_1305,59.6191236711,sheb_replication_1810,1,991,
leg,wade,skate,trudge,stride,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,2,2,2,space,4.51216713678,,,,,,,,,2018_Oct_05_1305,59.6191236711,sheb_replication_1810,1,991,
arm,clap,pat,click,scrub,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,3,3,3,space,8.45274732048,,,,,,,,,2018_Oct_05_1305,59.6191236711,sheb_replication_1810,1,991,
arm,hug,peel,catch,wipe,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,4,4,4,space,4.59594019179,,,,,,,,,2018_Oct_05_1305,59.6191236711,sheb_replication_1810,1,991,
leg,walk,step,roam,jump,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,5,5,5,space,4.52709982825,,,,,,,,,2018_Oct_05_1305,59.6191236711,sheb_replication_1810,1,991,
arm,pull,chop,wash,stir,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,6,6,6,space,5.19963397245,,,,,,,,,2018_Oct_05_1305,59.6191236711,sheb_replication_1810,1,991,
arm,rub,hack,brush,sign,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,7,7,7,space,5.73613419746,,,,,,,,,2018_Oct_05_1305,59.6191236711,sheb_replication_1810,1,991,
arm,scoop,poke,push,scratch,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,8,8,8,space,8.35414311662,,,,,,,,,2018_Oct_05_1305,59.6191236711,sheb_replication_1810,1,991,
leg,leap,glide,wobble,bounce,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,9,9,9,space,18.9686146387,,,,,,,,,2018_Oct_05_1305,59.6191236711,sheb_replication_1810,1,991,
leg,rush,trample,limp,jog,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,10,10,10,space,5.6353861405,,,,,,,,,2018_Oct_05_1305,59.6191236711,sheb_replication_1810,1,991,
leg,sprint,hop,run,wander,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,11,11,11,space,6.05476228952,,,,,,,,,2018_Oct_05_1305,59.6191236711,sheb_replication_1810,1,991,
arm,knock,cut,throw,polish,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,12,12,12,space,4.62922681025,,,,,,,,,2018_Oct_05_1305,59.6191236711,sheb_replication_1810,1,991,
arm,whip,fold,nip,grab,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,13,13,13,space,6.40700217349,,,,,,,,,2018_Oct_05_1305,59.6191236711,sheb_replication_1810,1,991,
leg,kick,slip,trip,march,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,14,14,14,space,7.53057440328,,,,,,,,,2018_Oct_05_1305,59.6191236711,sheb_replication_1810,1,991,
leg,hike,strut,stray,skip,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,15,15,15,space,8.25193948376,,,,,,,,,2018_Oct_05_1305,59.6191236711,sheb_replication_1810,1,991,
arm,pluck,clean,stab,grasp,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,16,16,16,space,11.4384341575,,,,,,,,,2018_Oct_05_1305,59.6191236711,sheb_replication_1810,1,991,
arm,snatch,carve,dig,slap,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,17,17,17,space,4.44450379837,,,,,,,,,2018_Oct_05_1305,59.6191236711,sheb_replication_1810,1,991,
leg,pace,pedal,stomp,tiptoe,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,18,18,18,space,5.78669451911,,,,,,,,,2018_Oct_05_1305,59.6191236711,sheb_replication_1810,1,991,
leg,trot,sneak,stumble,kneel,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,19,19,19,space,3.47218858321,,,,,,,,,2018_Oct_05_1305,59.6191236711,sheb_replication_1810,1,991,
,,,,,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,2018_Oct_05_1305,59.6191236711,sheb_replication_1810,1,991,
training,chew,stay,like,bless,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,1,1,1,0,0,0,0,0,0,0,0,,,,,space,3.38836534955,,,return,365.255331481,space,3.89229607615,,,2018_Oct_05_1305,59.6191236711,sheb_replication_1810,1,991,
