type,verb,category,category_lowercase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,armleg_loop.thisRepN,armleg_loop.thisTrialN,armleg_loop.thisN,armleg_loop.thisIndex,rating.response,rating.rt,date,frameRate,expName,participant,
arm,SCOOP,,,0,69,69,28,,,,,,,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
leg,WANDER,Leg,leg,0,70,70,78,0,0,0,0,5,1.716,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
leg,WANDER,Arm,arm,0,70,70,78,0,1,1,1,1,0.982,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
leg,WANDER,,,0,70,70,78,,,,,,,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
leg,SPRINT,Leg,leg,0,71,71,61,0,0,0,0,7,1.884,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
leg,SPRINT,Arm,arm,0,71,71,61,0,1,1,1,4,1.486,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
leg,SPRINT,,,0,71,71,61,,,,,,,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
leg,RUN,Leg,leg,0,72,72,55,0,0,0,0,7,2.526,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
leg,RUN,Arm,arm,0,72,72,55,0,1,1,1,2,0.813,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
leg,RUN,,,0,72,72,55,,,,,,,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
arm,CLAP,Leg,leg,0,73,73,4,0,0,0,0,7,1.833,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
arm,CLAP,Arm,arm,0,73,73,4,0,1,1,1,7,10.089,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
arm,CLAP,,,0,73,73,4,,,,,,,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
arm,GRIP,Leg,leg,0,74,74,13,0,0,0,0,1,4.115,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
arm,GRIP,Arm,arm,0,74,74,13,0,1,1,1,7,0.978,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
arm,GRIP,,,0,74,74,13,,,,,,,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
leg,FLEE,Leg,leg,0,75,75,41,0,0,0,0,6,2.537,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
leg,FLEE,Arm,arm,0,75,75,41,0,1,1,1,1,1.151,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
leg,FLEE,,,0,75,75,41,,,,,,,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
arm,THROW,Leg,leg,0,76,76,36,0,0,0,0,1,2.689,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
arm,THROW,Arm,arm,0,76,76,36,0,1,1,1,7,0.997,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
arm,THROW,,,0,76,76,36,,,,,,,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
leg,SNEAK,Leg,leg,0,77,77,60,0,0,0,0,6,2.122,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
leg,SNEAK,Arm,arm,0,77,77,60,0,1,1,1,2,0.698,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
leg,SNEAK,,,0,77,77,60,,,,,,,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
arm,SCRUB,Leg,leg,0,78,78,30,0,0,0,0,1,2.269,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
arm,SCRUB,Arm,arm,0,78,78,30,0,1,1,1,7,0.544,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
arm,SCRUB,,,0,78,78,30,,,,,,,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
arm,POLISH,Leg,leg,0,79,79,23,0,0,0,0,1,1.951,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
arm,POLISH,Arm,arm,0,79,79,23,0,1,1,1,7,0.832,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
arm,POLISH,,,0,79,79,23,,,,,,,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
