type,verb,category,category_lowercase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,armleg_loop.thisRepN,armleg_loop.thisTrialN,armleg_loop.thisN,armleg_loop.thisIndex,rating.response,rating.rt,date,frameRate,expName,participant,
leg,SQUAT,Arm,arm,0,0,0,62,0,0,0,0,1,7.572,2018_Oct_23_1551,59.6357715747,verb_norming_L1-eng_no-translation,702,
leg,SQUAT,Leg,leg,0,0,0,62,0,1,1,1,7,4.826,2018_Oct_23_1551,59.6357715747,verb_norming_L1-eng_no-translation,702,
leg,SQUAT,,,0,0,0,62,,,,,,,2018_Oct_23_1551,59.6357715747,verb_norming_L1-eng_no-translation,702,
arm,PUNCH,Arm,arm,0,1,1,25,0,0,0,0,7,9.131,2018_Oct_23_1551,59.6357715747,verb_norming_L1-eng_no-translation,702,
arm,PUNCH,Leg,leg,0,1,1,25,0,1,1,1,1,5.681,2018_Oct_23_1551,59.6357715747,verb_norming_L1-eng_no-translation,702,
arm,PUNCH,,,0,1,1,25,,,,,,,2018_Oct_23_1551,59.6357715747,verb_norming_L1-eng_no-translation,702,
arm,WHIP,Arm,arm,0,2,2,38,0,0,0,0,7,11.582,2018_Oct_23_1551,59.6357715747,verb_norming_L1-eng_no-translation,702,
arm,WHIP,Leg,leg,0,2,2,38,0,1,1,1,1,7.828,2018_Oct_23_1551,59.6357715747,verb_norming_L1-eng_no-translation,702,
arm,WHIP,,,0,2,2,38,,,,,,,2018_Oct_23_1551,59.6357715747,verb_norming_L1-eng_no-translation,702,
leg,SKIP,Arm,arm,0,3,3,58,0,0,0,0,2,9.972,2018_Oct_23_1551,59.6357715747,verb_norming_L1-eng_no-translation,702,
leg,SKIP,Leg,leg,0,3,3,58,0,1,1,1,7,3.753,2018_Oct_23_1551,59.6357715747,verb_norming_L1-eng_no-translation,702,
leg,SKIP,,,0,3,3,58,,,,,,,2018_Oct_23_1551,59.6357715747,verb_norming_L1-eng_no-translation,702,
arm,WIPE,Arm,arm,0,4,4,39,0,0,0,0,7,4.806,2018_Oct_23_1551,59.6357715747,verb_norming_L1-eng_no-translation,702,
arm,WIPE,Leg,leg,0,4,4,39,0,1,1,1,1,6.067,2018_Oct_23_1551,59.6357715747,verb_norming_L1-eng_no-translation,702,
arm,WIPE,,,0,4,4,39,,,,,,,2018_Oct_23_1551,59.6357715747,verb_norming_L1-eng_no-translation,702,
leg,KICK,Arm,arm,0,5,5,47,0,0,0,0,1,9.066,2018_Oct_23_1551,59.6357715747,verb_norming_L1-eng_no-translation,702,
leg,KICK,Leg,leg,0,5,5,47,0,1,1,1,7,4.541,2018_Oct_23_1551,59.6357715747,verb_norming_L1-eng_no-translation,702,
leg,KICK,,,0,5,5,47,,,,,,,2018_Oct_23_1551,59.6357715747,verb_norming_L1-eng_no-translation,702,
leg,BOUNCE,Arm,arm,0,6,6,40,0,0,0,0,1,19.058,2018_Oct_23_1551,59.6357715747,verb_norming_L1-eng_no-translation,702,
leg,BOUNCE,Leg,leg,0,6,6,40,0,1,1,1,7,3.433,2018_Oct_23_1551,59.6357715747,verb_norming_L1-eng_no-translation,702,
leg,BOUNCE,,,0,6,6,40,,,,,,,2018_Oct_23_1551,59.6357715747,verb_norming_L1-eng_no-translation,702,
