type,word1,word2,word3,word4,BlockType,Effector,BlockLabel,BlockInstructions,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,word_presentation_practice.thisRepN,word_presentation_practice.thisTrialN,word_presentation_practice.thisN,word_presentation_practice.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,training_block.thisRepN,training_block.thisTrialN,training_block.thisN,training_block.thisIndex,word_presentation_training.thisRepN,word_presentation_training.thisTrialN,word_presentation_training.thisN,word_presentation_training.thisIndex,word_presentation.thisRepN,word_presentation.thisTrialN,word_presentation.thisN,word_presentation.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_8.keys,key_resp_8.rt,key_resp_15.keys,key_resp_15.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,date,frameRate,expName,session,participant,
training,sigh,save,stay,soothe,,,,,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,space,11.7806738894,,,,,,,,,2018_Nov_01_1304,59.9401581096,sheb_replication_1810,1,704,
training,like,bless,wait,print,,,,,0,0,0,0,0,1,1,2,,,,,,,,,,,,,,,,,space,5.56652952847,,,,,,,,,2018_Nov_01_1304,59.9401581096,sheb_replication_1810,1,704,
training,look,stare,chew,yell,,,,,0,0,0,0,0,2,2,1,,,,,,,,,,,,,,,,,space,4.46671114233,,,,,,,,,2018_Nov_01_1304,59.9401581096,sheb_replication_1810,1,704,
training,thank,lick,ruin,blush,,,,,0,0,0,0,0,3,3,0,,,,,,,,,,,,,,,,,space,4.93207866,,,,,,,,,2018_Nov_01_1304,59.9401581096,sheb_replication_1810,1,704,
training,lick,chew,look,bless,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,2,,,,,space,22.8784459615,s,3.25078713382,return,279.372590996,space,2.79598615598,,,2018_Nov_01_1304,59.9401581096,sheb_replication_1810,1,704,
training,ruin,save,like,blush,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,1,1,1,,,,,space,5.04936977825,,,,,,,,,2018_Nov_01_1304,59.9401581096,sheb_replication_1810,1,704,
training,print,thank,wait,sigh,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,2,2,3,,,,,space,5.26591787999,,,,,,,,,2018_Nov_01_1304,59.9401581096,sheb_replication_1810,1,704,
training,stare,stay,yell,soothe,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,3,3,0,,,,,space,4.6336817462,,,,,,,,,2018_Nov_01_1304,59.9401581096,sheb_replication_1810,1,704,
arm,dunk,hug,slap,scoop,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,space,6.49948865548,s,4.8331809747,,,,,space,9.04843410663,2018_Nov_01_1304,59.9401581096,sheb_replication_1810,1,704,
leg,pedal,tramp,bounce,jump,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,1,1,1,space,9.08163267211,,,,,,,,,2018_Nov_01_1304,59.9401581096,sheb_replication_1810,1,704,
