type,verb,category,category_lowercase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,armleg_loop.thisRepN,armleg_loop.thisTrialN,armleg_loop.thisN,armleg_loop.thisIndex,rating.response,rating.rt,date,frameRate,expName,participant,
arm,CUT,Leg,leg,0,0,0,7,0,0,0,0,1,12.12,2018_Nov_01_1711,59.8921242176,verb_norming_L1-eng_no-translation,705,
arm,CUT,Arm,arm,0,0,0,7,0,1,1,1,6,7.342,2018_Nov_01_1711,59.8921242176,verb_norming_L1-eng_no-translation,705,
arm,CUT,,,0,0,0,7,,,,,,,2018_Nov_01_1711,59.8921242176,verb_norming_L1-eng_no-translation,705,
leg,BOUNCE,Leg,leg,0,1,1,40,0,0,0,0,5,19.209,2018_Nov_01_1711,59.8921242176,verb_norming_L1-eng_no-translation,705,
leg,BOUNCE,Arm,arm,0,1,1,40,0,1,1,1,2,3.723,2018_Nov_01_1711,59.8921242176,verb_norming_L1-eng_no-translation,705,
leg,BOUNCE,,,0,1,1,40,,,,,,,2018_Nov_01_1711,59.8921242176,verb_norming_L1-eng_no-translation,705,
arm,KNOCK,Leg,leg,0,2,2,16,0,0,0,0,2,9.983,2018_Nov_01_1711,59.8921242176,verb_norming_L1-eng_no-translation,705,
arm,KNOCK,Arm,arm,0,2,2,16,0,1,1,1,7,8.656,2018_Nov_01_1711,59.8921242176,verb_norming_L1-eng_no-translation,705,
arm,KNOCK,,,0,2,2,16,,,,,,,2018_Nov_01_1711,59.8921242176,verb_norming_L1-eng_no-translation,705,
leg,SQUAT,Leg,leg,0,3,3,62,0,0,0,0,7,6.149,2018_Nov_01_1711,59.8921242176,verb_norming_L1-eng_no-translation,705,
leg,SQUAT,Arm,arm,0,3,3,62,0,1,1,1,1,2.257,2018_Nov_01_1711,59.8921242176,verb_norming_L1-eng_no-translation,705,
leg,SQUAT,,,0,3,3,62,,,,,,,2018_Nov_01_1711,59.8921242176,verb_norming_L1-eng_no-translation,705,
arm,THROW,Leg,leg,0,4,4,36,0,0,0,0,1,4.452,2018_Nov_01_1711,59.8921242176,verb_norming_L1-eng_no-translation,705,
arm,THROW,Arm,arm,0,4,4,36,0,1,1,1,7,3.24,2018_Nov_01_1711,59.8921242176,verb_norming_L1-eng_no-translation,705,
arm,THROW,,,0,4,4,36,,,,,,,2018_Nov_01_1711,59.8921242176,verb_norming_L1-eng_no-translation,705,
leg,RUSH,Leg,leg,0,5,5,56,0,0,0,0,5,15.749,2018_Nov_01_1711,59.8921242176,verb_norming_L1-eng_no-translation,705,
leg,RUSH,Arm,arm,0,5,5,56,0,1,1,1,2,4.523,2018_Nov_01_1711,59.8921242176,verb_norming_L1-eng_no-translation,705,
leg,RUSH,,,0,5,5,56,,,,,,,2018_Nov_01_1711,59.8921242176,verb_norming_L1-eng_no-translation,705,
leg,STRAY,Leg,leg,0,6,6,66,0,0,0,0,6,4.736,2018_Nov_01_1711,59.8921242176,verb_norming_L1-eng_no-translation,705,
leg,STRAY,Arm,arm,0,6,6,66,0,1,1,1,1,4.972,2018_Nov_01_1711,59.8921242176,verb_norming_L1-eng_no-translation,705,
leg,STRAY,,,0,6,6,66,,,,,,,2018_Nov_01_1711,59.8921242176,verb_norming_L1-eng_no-translation,705,
arm,PEEL,Leg,leg,0,7,7,19,0,0,0,0,1,2.954,2018_Nov_01_1711,59.8921242176,verb_norming_L1-eng_no-translation,705,
