BlockType,BlockLabel,BlockInstructions,item,type,word1,word2,word3,word4,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,training_block.thisRepN,training_block.thisTrialN,training_block.thisN,training_block.thisIndex,word_presentation_training.thisRepN,word_presentation_training.thisTrialN,word_presentation_training.thisN,word_presentation_training.thisIndex,word_presentation.thisRepN,word_presentation.thisTrialN,word_presentation.thisN,word_presentation.thisIndex,key_resp_5.keys,key_resp_5.rt,key_resp_15.keys,key_resp_15.rt,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_3.keys,date,frameRate,expName,session,participant,
ARTICULATION,while repeating a syllable,repeat the syllable "bla" continuously,15,leg,sprint,slide,crawl,trot,0,0,0,3,1,0,1,0,,,,,0,13,13,13,,,,,,,space,5.60192213398,,,,,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
ARTICULATION,while repeating a syllable,repeat the syllable "bla" continuously,1,arm,peel,pat,braid,pull,0,0,0,3,1,0,1,0,,,,,0,14,14,14,,,,,,,space,10.3312342425,,,,,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
ARTICULATION,while repeating a syllable,repeat the syllable "bla" continuously,3,arm,lift,fold,brush,bind,0,0,0,3,1,0,1,0,,,,,0,15,15,15,,,,,,,space,4.61295559708,,,,,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
ARTICULATION,while repeating a syllable,repeat the syllable "bla" continuously,14,leg,climb,stamp,kneel,wander,0,0,0,3,1,0,1,0,,,,,0,16,16,16,,,,,,,space,7.51378876677,,,,,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
ARTICULATION,while repeating a syllable,repeat the syllable "bla" continuously,5,arm,stab,hack,scratch,clean,0,0,0,3,1,0,1,0,,,,,0,17,17,17,,,,,,,space,8.3866666772,,,,,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
ARTICULATION,while repeating a syllable,repeat the syllable "bla" continuously,,,,,,,0,0,0,3,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
HANDS,with hand drumming,perform a simple drumming exercise with your hands,1,training,blush,sigh,bless,wait,0,1,1,1,0,0,0,0,0,0,0,0,,,,,space,15.1444599372,return,353.231811381,space,4.24274962198,space,7.04431639349,,,,,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
HANDS,with hand drumming,perform a simple drumming exercise with your hands,4,training,stay,print,save,look,0,1,1,1,0,0,0,0,0,1,1,3,,,,,,,,,,,space,6.03787174473,,,,,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
HANDS,with hand drumming,perform a simple drumming exercise with your hands,2,training,thank,yell,stare,like,0,1,1,1,0,0,0,0,0,2,2,1,,,,,,,,,,,space,6.65842097215,,,,,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
HANDS,with hand drumming,perform a simple drumming exercise with your hands,3,training,chew,soothe,ruin,lick,0,1,1,1,0,0,0,0,0,3,3,2,,,,,,,,,,,space,4.49534263397,,,,,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
HANDS,with hand drumming,perform a simple drumming exercise with your hands,8,arm,click,grab,wipe,clap,0,1,1,1,0,0,0,0,,,,,0,0,0,0,,,,,,,space,7.79979549076,s,3.87387872555,space,3.32113640126,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
