verb;translation_simple;translation_details;comment;score;score_comment;coder
roam;jag vet inte;;;0;;
roam;jag vet inte;ingen aning;;0;;
roam;nå, räcka;vet inte riktigt men kanska nå eller räcka;;0;;
roam;ropa/skrika;;;0;;
roam;råma;;;0;;
roam;stryka omkring, gå runt;;;1;;
roam;ströva;;;1;;
row;jag vet inte;;;0;;
row;ro;;;1;;
rub;gnida;;;1;;
rub;gnida in;;;1;;
rub;gnugga;;;1;;
rub;jag vet inte;;;0;;
rub;massera;inte helt säker men… massera;;1;;
rub;skrubba;;;0;;
run;springa;;;1;;
rush;rusa;;;1;;
rush;rusa, rusha;;;1;;
rush;skynda;;;1;;
rush;springa fort;;;1;;
saunter;jag vet inte;;;0;;
saunter;jag vet inte;ingen aning;;0;;
saunter;jag vet inte;osäker;;0;;
saunter;jag vet inte;har jag aldrig hört;;0;;
saunter;vet inte;;;0;;
scoop;jag vet inte;;;0;;
scoop;skopa;;;1;;
scoop;skyffla;;;1;;
scoop;skyffla;jag tror skyffla eller nåt sånt;;1;;
scoop;sleva upp;sleva upp, ta från typ glass tar och sätter in i mindre skål, va heter det på svenska?? Man gör det med glass i alla fall.. Jag vet inte, jag kommer inte på vad det heter på svenska. Hälla upp skulle jag säga, men inte med vatten. Typ sleva upp men det låter för vulgärt.;;1;;
scoop;överblicka;;;0;;
scrape;jag vet inte;;;0;;
scrape;skrapa;;;1;;
scrape;skrapa;kanske;;1;;
scrape;skrapa, rispa;;;1;;
scratch;jag vet inte;;;0;;
scratch;klia;;;11;;
scratch;klia;"""riva, klösa. Nej klia""";;1;;
scratch;klia, skrapa;;;1;;
scratch;klia, skrapa;klia, skrapa möjligen;;1;;
scratch;repa;;;1;;
scratch;skrapa;;;1;;
scrub;jag vet inte;;;0;;
scrub;klia;;;0;;
scrub;rengöra;;;1;;
scrub;skrapa;skrapa tror jag;;0;;
scrub;skrubba;;;1;;
scrub;skrubba;en städterm, typ att skrubba en gryta eller nånting som är väldigt skitigt;;1;;
scrub;skrubba;jag kanske bara hittar på jag vet inte;;1;;
seize;beslagta;;;1;;
seize;dra;jag tror att det betyder dra;;1;;
seize;erövra;;;0;;
seize;fånga;;;1;;
seize;fånga;jag tänker typ fånga men jag vet inte;;1;;
seize;gripa;;;1;;
seize;ingen aning;;;0;;
seize;jag vet inte;;;0;;
shake;skaka;;;1;;
shamble;jag vet inte;;;0;;
shamble;vet inte;;;0;;
sign;signera;;;1;;
sign;signera, skriva under;;;1;;
sign;skriva under, signera;;;1;;
skate;jag vet inte;;;0;;
skate;skejta;;;1;;
skate;åka skateboard, skidor, snowboard;åka skateboard, skidor, snowboard tror jag också;;1;;
skate;åka skridskor;;;1;;
skate;åka skridskor, skejta;;;1;;
skate;åka skridskor, åka skateboard;;;1;;
skim;jag vet inte;;;0;;
skim;jag vet inte;ingen aning;;0;;
skim;jag vet inte;men tror att det varken har med armar eller ben att göra;;0;;
skim;skumläsa;jag skulle gissa på skumläsa, läsa över ytligt;;1;;
skim;skumma;;;1;;
skim;skumma av;;;1;;
skim;sno;jag är inte säker men … sno;;1;;
skim;ta av det översta lagret av något;;;1;;
skip;hoppa;;;1;;
skip;hoppa;typ;;1;;
skip;hoppa;"""ett litet hopp eeh hoppa""";;1;;
skip;hoppa över;;;1;;
skip;hoppa över, hoppa;;;1;;
skip;jag vet inte;;;0;;
skip;jag vet inte;kommer inte på vad det betyder;;0;;
skip;skippa;;;1;;
skip;skutta;;;1;;
slap;jag vet inte;;;0;;
slap;slå;;;1;;
slap;slå med öppen hand;;;1;;
slap;slå till;;;1;;
slap;slå, lavetta;;;1;;
slap;örfila;;ppt pressed wrong: wants 7 on hand-related, and 1 on foot-related;1;;
slap;örfila;;;1;;
slide;glida;;;1;;
slide;glida;jag tror glida;;1;;
slide;halka, glida;;;1;;
slide;jag vet inte;;;0;;
slide;skjuta något åt något håll;;;1;;
slide;slida, halka;;;1;;
slip;halka;;;1;;
slip;halka, slinta;;;1;;
slip;jag vet inte;;;0;;
slip;snubbla på;;;1;;
slip;snubbla, glida;;;1;;
slip;snubbla, halka;;;1;;
slither;halka;inte säker men jag tror det har med halka att göra;;1;;
slither;jag vet inte;;;0;;
slither;jag vet inte;har jag aldrig hört;;0;;
slither;slingra sig;;;1;;
slither;slinta;;;1;;
snatch;fånga;;;1;;
snatch;jag vet inte;;;0;;
snatch;jag vet inte;inte helt säker;;0;;
snatch;jag vet inte;det är nåt med armar men jag vet inte vad;;0;;
snatch;sno;;;1;;
snatch;sno till sig;;;1;;
snatch;sno åt sig, ta ngt snabbt;;;1;;
snatch;ta nåt;;;1;;
snatch;ta, sno åt sig;inte säker;;1;;
snatch;ta, stjäla;typ;;1;;
sneak;jag vet inte;;;0;;
sneak;smyga;;;1;;
sneak;snoka, kika;;;0;;
sprint;jag vet inte;;;0;;
sprint;rusa;;;0,5;;
sprint;springa;;;0,5;;
sprint;springa;sprint är väl ...ett ord för springa;;0,5;;
sprint;springa fort;;;1;;
sprint;springa snabbt;;;1;;
sprint;springa snabbt;nånting med springa snabbt att göra;;1;;
sprint;springa snabbt, spurta;;;1;;
sprint;springa, sprinta;;;1;;
sprint;sprinta;;;1;;
sprint;spurta;;;1;;
squat;benböj;;;0;;
squat;benböj, göra benböj;;;1;;
squat;benböja;;;1;;
squat;benhävning, benhäva sig;;;1;;
squat;bo illegalt, att vara husockupant;;;1;;
squat;böja på benen;vet inte exakt nånting med att böja på benen;;1;;
squat;gå ner på huk, huka;;;1;;
squat;huka sig;;;1;;
squat;jag vet inte;;;0;;
squat;jag vet inte;"""squatta... Jag vet inte""";;0;;
squat;sätta sig på huk;;;1;;
squeeze;jag vet inte;;;0;;
squeeze;klämma;;;1;;
squeeze;krama;;;1;;
squeeze;pressa;;;1;;
squeeze;trycka;;;1;;
squeeze;trycka, vrida;;;1;;
stab;hugga;;;1;;
stab;hugga med en kniv till exempel;;;1;;
stab;jag vet inte;;;0;;
stab;knivhugga;;;1;;
stagger;avvakta;;;0;;
stagger;hacka, hugga;nånting med hacka eller hugga tror jag;;0;;
stagger;jag vet inte;;;0;;
stagger;kämpa;;;0;;
stagger;pula, påla;;;0;;
stagger;stappla;kanske;;1;;
stagger;vackla;typ;;1;;
stamp;frankera;;;1;;
stamp;jag vet inte;;;0;;
stamp;stampa;;;1;;
stamp;stampa;""" jag tänkte stampa men det kan ju vara stämpla, då är det ju fel""";;1;;
stamp;stampa;kanske jag vet inte;;1;;
stamp;stämpla;;;1;;
stamp;stämpla;om jag inte har helt fel;;1;;
stand;stå;;;1;;
stand;stå, stå upp;;;1;;
step;gå;;;1;;
step;gå, ta steg, stega;;;1;;
step;kliva;;;1;;
step;kliva, ta ett steg;;;1;;
step;steg;;;0;;
step;steg in;;;0;;
step;stega;;;1;;
step;stiga;;;1;;
step;ta ett steg;;;1;;
stir;blanda;typ;;0;;
stir;hälla;;;0;;
stir;jag vet inte;;;0;;
stir;röra;;;1;;
stir;röra om;;;1;;
stir;röra runt;;;1;;
stir;stirra;;;0;;
stomp;jag vet inte;;;0;;
stomp;jag vet inte;jag tror det har med ben och fötter att göra;;0;;
stomp;stampa;;;1;;
stomp;stampa;kan man väl göra med potatis också?;;1;;
stomp;stampa;tror jag;;1;;
straddle;att kliva på typ en häst eller en cykel;;;1;;
straddle;grensla;;;1;;
straddle;jag vet inte;;;0;;
straddle;vet inte;strosa kanske;;0;;
straddle;;är något ord för att gå;;0;;
stray;dröja sig kvar;;;0;;
stray;gå;typ;;0,5;;
stray;gå;typ att... Ja men typ gå;;0,5;;
stray;gå omkring men inte snabbt;en synonym för att gå;;1;;
stray;jag vet inte;;;0;;
stray;strosa;;;1;;
stray;strö;inte säker men tror det har med strö att göra;;0;;
stray;ströva;;;1;;
