expName;date;participant;trial;resp_time;verb;translation_simple;translation_details;comment
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;57;2.73414009009;TROT;jag vet inte;;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;58;1.77822222977;CLUTCH;jag vet inte;;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;59;2.3483666455;KNOCK;knacka;;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;60;2.29799676565;THROW;kasta;;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;61;4.89755219073;TUG;jag vet inte;;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;62;2.26444542519;STUMBLE;snubbla;;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;63;1.64397143057;WOBBLE;vila;;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;64;5.03146003666;TRIP;snubbla, ramla;;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;65;2.04648241752;PUSH;knuffa;;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;66;2.19743085323;STRAY;ströva;;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;67;2.06334046766;SHAKE;skaka;;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;68;2.0800187439;STRADDLE;jag vet inte;;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;69;5.13227763253;SNATCH;ta, sno åt sig;inte säker;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;70;1.76125078379;STIR;hälla;;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;71;2.23093833676;LIFT;lyfta;;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;72;3.50540289701;SEIZE;dra;jag tror att det betyder dra;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;73;7.34597071385;SLITHER;halka;inte säker men jag tror det har med halka att göra;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;74;4.42809538052;SPRINT;springa snabbt;nånting med springa snabbt att göra;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;75;2.54960910043;WASH;tvätta;;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;76;3.37136110965;STAMP;stämpla;om jag inte har helt fel;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;77;1.69421448093;PEEL;skala;;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;78;3.58928263104;SCOOP;skyffla;jag tror skyffla eller nåt sånt;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;79;1.71087497733;LUMBER;jag vet inte;;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;80;3.13662420974;PACE;jag vet inte;kommer inte ihåg vad det betyder;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;81;2.95208531793;CLEAN;göra rent;;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;82;1.40914760701;POLISH;putsa;;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;83;1.92907188862;CYCLE;cykla;;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;84;2.04651639676;CREEP;krypa;;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;85;4.84726725899;SQUEEZE;trycka;;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;86;1.64384855215;KNEEL;knäa;;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;87;7.07763031928;STRIDE;jag vet inte;jag vet inte exakt, nånting som har med att ta sig fram på benen att göra;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;88;2.44898708275;RUSH;skynda;;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;89;5.36713108915;SCRATCH;klia, skrapa;klia, skrapa möjligen;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;90;3.95918697947;RAMBLE;ramla;nånting med ramla;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;91;2.16397868474;WRAP;linda;;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;92;2.00570337623;HACK;hacka;;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;93;1.37566501525;DASH;daska;;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;94;2.43222780948;JOG;jogga;;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;95;4.66286625968;STAGGER;hacka, hugga;nånting med hacka eller hugga tror jag;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;96;1.96268921203;SHAMBLE;jag vet inte;;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;97;3.25399443768;WANDER;vandra, gå omkring;;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;98;2.14714038998;RUN;springa;;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;99;1.35887571381;CARVE;karva;;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;100;1.74465389969;PLUCK;plocka;;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;101;1.15764353168;ROW;ro;;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;102;1.71108201364;GRIP;greppa;;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;103;1.07378987474;DUNK;dunka;;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;104;1.59369677162;SNEAK;smyga;;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;105;1.94596549843;STAB;knivhugga;;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;106;9.27452896276;TODDLE;ta sig fram lite ostadigt;kommer inte exakt på något men att ta sig fram lite ostadigt;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;107;2.16390993605;WHIP;piska;;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;108;1.67754331662;WADE;vada;;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;109;1.4090780681;HUG;krama;;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;110;4.64588296048;STROLL;vandra, promenera;typ vandra… promenera kanske;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;111;1.40911481309;CHOP;hacka;;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;112;1.34197894314;CLICK;klicka;;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;113;2.01309781241;DIG;gräva;;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;114;0.956386852877;PULL;dra;;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;115;2.19747826613;LEAP;löpa;;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;116;1.61038374022;TRAMP;trampa;;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;117;1.91229641594;SLIP;halka;;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;118;4.93095655122;SWITCH;slå på;jag är inte säker men jag gissar på slå på;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;119;5.43421559513;PAT;daska till;jag vet inte gissar på typ daska till eller nåt;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;120;3.20371227168;TOSS;dra;dra tror jag;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;121;1.47632930943;SCRAPE;skrapa;;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;122;6.84297915769;SQUAT;böja på benen;vet inte exakt nånting med att böja på benen;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;123;1.42582627836;CLAW;klösa;;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;124;1.54327868865;SCRUB;skrapa;skrapa tror jag;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;125;2.18030492023;SLIDE;glida;jag tror glida;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;126;1.24148138432;WALK;gå;;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;127;1.82832106591;BRUSH;borsta;;
