id,list_seq,task_order,block,list,task
78,AC,legs-arms,1,A,legs
78,AC,legs-arms,2,C,arms
79,CA,arms-legs,1,C,arms
79,CA,arms-legs,2,A,legs
80,CA,legs-arms,1,C,legs
80,CA,legs-arms,2,A,arms
81,BC,arms-legs,1,B,arms
81,BC,arms-legs,2,C,legs
82,BC,legs-arms,1,B,legs
82,BC,legs-arms,2,C,arms
83,CB,arms-legs,1,C,arms
83,CB,arms-legs,2,B,legs
84,CB,legs-arms,1,C,legs
84,CB,legs-arms,2,B,arms
85,AB,arms-legs,1,A,arms
85,AB,arms-legs,2,B,legs
86,AB,legs-arms,1,A,legs
86,AB,legs-arms,2,B,arms
87,BA,arms-legs,1,B,arms
87,BA,arms-legs,2,A,legs
88,BA,legs-arms,1,B,legs
88,BA,legs-arms,2,A,arms
89,AC,arms-legs,1,A,arms
89,AC,arms-legs,2,C,legs
90,AC,legs-arms,1,A,legs
90,AC,legs-arms,2,C,arms
91,CA,arms-legs,1,C,arms
91,CA,arms-legs,2,A,legs
92,CA,legs-arms,1,C,legs
92,CA,legs-arms,2,A,arms
93,BC,arms-legs,1,B,arms
93,BC,arms-legs,2,C,legs
94,BC,legs-arms,1,B,legs
94,BC,legs-arms,2,C,arms
95,CB,arms-legs,1,C,arms
95,CB,arms-legs,2,B,legs
96,CB,legs-arms,1,C,legs
96,CB,legs-arms,2,B,arms
97,AB,arms-legs,1,A,arms
97,AB,arms-legs,2,B,legs
98,AB,legs-arms,1,A,legs
98,AB,legs-arms,2,B,arms
99,BA,arms-legs,1,B,arms
99,BA,arms-legs,2,A,legs
100,BA,legs-arms,1,B,legs
100,BA,legs-arms,2,A,arms
101,AC,arms-legs,1,A,arms
101,AC,arms-legs,2,C,legs
102,AC,legs-arms,1,A,legs
102,AC,legs-arms,2,C,arms
103,CA,arms-legs,1,C,arms
103,CA,arms-legs,2,A,legs
104,CA,legs-arms,1,C,legs
104,CA,legs-arms,2,A,arms
105,BC,arms-legs,1,B,arms
105,BC,arms-legs,2,C,legs
106,BC,legs-arms,1,B,legs
106,BC,legs-arms,2,C,arms
107,CB,arms-legs,1,C,arms
107,CB,arms-legs,2,B,legs
108,CB,legs-arms,1,C,legs
108,CB,legs-arms,2,B,arms
109,AB,arms-legs,1,A,arms
109,AB,arms-legs,2,B,legs
110,AB,legs-arms,1,A,legs
110,AB,legs-arms,2,B,arms
111,BA,arms-legs,1,B,arms
111,BA,arms-legs,2,A,legs
112,BA,legs-arms,1,B,legs
112,BA,legs-arms,2,A,arms
113,AC,arms-legs,1,A,arms
113,AC,arms-legs,2,C,legs
114,AC,legs-arms,1,A,legs
114,AC,legs-arms,2,C,arms
115,CA,arms-legs,1,C,arms
115,CA,arms-legs,2,A,legs
116,CA,legs-arms,1,C,legs
116,CA,legs-arms,2,A,arms
117,BC,arms-legs,1,B,arms
117,BC,arms-legs,2,C,legs
118,BC,legs-arms,1,B,legs
118,BC,legs-arms,2,C,arms
119,CB,arms-legs,1,C,arms
119,CB,arms-legs,2,B,legs
120,CB,legs-arms,1,C,legs
120,CB,legs-arms,2,B,arms
990,AB,arms-legs,1,A,arms
990,AB,arms-legs,2,B,legs
991,AB,legs-arms,1,A,legs
991,AB,legs-arms,2,B,arms
992,BA,arms-legs,1,B,arms
992,BA,arms-legs,2,A,legs
993,BA,legs-arms,1,B,legs
993,BA,legs-arms,2,A,arms
994,AC,arms-legs,1,A,arms
994,AC,arms-legs,2,C,legs
995,AC,legs-arms,1,A,legs
995,AC,legs-arms,2,C,arms
996,CA,arms-legs,1,C,arms
996,CA,arms-legs,2,A,legs
997,CA,legs-arms,1,C,legs
997,CA,legs-arms,2,A,arms
998,BC,arms-legs,1,B,arms
998,BC,arms-legs,2,C,legs
999,BC,legs-arms,1,B,legs
999,BC,legs-arms,2,C,arms
1000,CB,arms-legs,1,C,arms
1000,CB,arms-legs,2,B,legs
1001,CB,legs-arms,1,C,legs
1001,CB,legs-arms,2,B,arms
