"item","type","word1","word2","word3","word4"
3,"arm","fold","bind","lift","brush"
17,"leg","flee","kick","run","jog"
2,"arm","chop","dunk","switch","rub"
6,"arm","wash","bash","stir","carve"
1,"arm","pull","braid","peel","pat"
15,"leg","sprint","slide","crawl","trot"
8,"arm","click","wipe","grab","clap"
10,"leg","stride","hop","mount","limp"
12,"leg","step","jump","stroll","walk"
13,"leg","hike","tiptoe","wade","tread"
5,"arm","stab","scratch","clean","hack"
9,"arm","scrape","toss","whip","throw"
11,"leg","dance","skip","strut","pace"
14,"leg","stamp","kneel","wander","climb"
7,"arm","scrub","nip","knock","dig"
4,"arm","grasp","grip","seize","catch"
18,"leg","slip","leap","stray","skate"
16,"leg","creep","glide","stumble","stomp"
