"item","type","word1","word2","word3","word4"
11,"leg","pace","dance","skip","strut"
18,"leg","skate","slip","stray","leap"
3,"arm","fold","brush","bind","lift"
7,"arm","scrub","dig","nip","knock"
8,"arm","click","grab","wipe","clap"
10,"leg","mount","limp","stride","hop"
9,"arm","throw","whip","toss","scrape"
17,"leg","flee","jog","kick","run"
5,"arm","stab","clean","hack","scratch"
13,"leg","tread","hike","wade","tiptoe"
14,"leg","wander","stamp","climb","kneel"
16,"leg","stomp","glide","stumble","creep"
2,"arm","rub","chop","switch","dunk"
4,"arm","catch","grasp","grip","seize"
15,"leg","trot","slide","crawl","sprint"
12,"leg","jump","step","stroll","walk"
1,"arm","pat","pull","peel","braid"
6,"arm","wash","stir","carve","bash"
