"item","type","word1","word2","word3","word4"
5,"arm","clean","scratch","stab","hack"
17,"leg","jog","kick","flee","run"
2,"arm","chop","dunk","switch","rub"
18,"leg","stray","leap","slip","skate"
3,"arm","brush","lift","bind","fold"
13,"leg","tiptoe","wade","tread","hike"
15,"leg","slide","trot","crawl","sprint"
8,"arm","wipe","click","clap","grab"
16,"leg","glide","creep","stumble","stomp"
9,"arm","whip","toss","throw","scrape"
10,"leg","limp","stride","mount","hop"
12,"leg","walk","step","stroll","jump"
6,"arm","stir","wash","carve","bash"
14,"leg","stamp","kneel","climb","wander"
4,"arm","grasp","grip","catch","seize"
7,"arm","dig","nip","scrub","knock"
11,"leg","pace","dance","skip","strut"
1,"arm","braid","pat","peel","pull"
