"item","type","word1","word2","word3","word4"
16,"leg","stumble","creep","glide","stomp"
4,"arm","grip","seize","grasp","catch"
1,"arm","peel","pat","braid","pull"
8,"arm","wipe","grab","clap","click"
17,"leg","kick","jog","flee","run"
9,"arm","toss","scrape","throw","whip"
13,"leg","tiptoe","wade","tread","hike"
3,"arm","brush","fold","lift","bind"
15,"leg","crawl","sprint","slide","trot"
10,"leg","limp","hop","mount","stride"
14,"leg","climb","wander","stamp","kneel"
2,"arm","switch","chop","dunk","rub"
7,"arm","scrub","dig","nip","knock"
6,"arm","stir","bash","carve","wash"
12,"leg","step","jump","walk","stroll"
18,"leg","skate","slip","stray","leap"
11,"leg","skip","dance","strut","pace"
5,"arm","hack","clean","scratch","stab"
