"item","type","word1","word2","word3","word4"
15,"leg","trot","crawl","slide","sprint"
6,"arm","bash","stir","wash","carve"
1,"arm","peel","braid","pull","pat"
17,"leg","kick","run","flee","jog"
16,"leg","stumble","creep","glide","stomp"
10,"leg","hop","limp","stride","mount"
5,"arm","clean","stab","hack","scratch"
13,"leg","tread","tiptoe","wade","hike"
14,"leg","wander","climb","stamp","kneel"
4,"arm","grasp","grip","seize","catch"
9,"arm","throw","whip","scrape","toss"
2,"arm","rub","switch","chop","dunk"
11,"leg","pace","dance","skip","strut"
7,"arm","dig","nip","knock","scrub"
8,"arm","grab","click","clap","wipe"
12,"leg","jump","walk","stroll","step"
3,"arm","fold","lift","brush","bind"
18,"leg","slip","leap","skate","stray"
