"item","type","word1","word2","word3","word4"
15,"leg","slide","sprint","trot","crawl"
1,"arm","pull","peel","pat","braid"
10,"leg","limp","mount","stride","hop"
2,"arm","dunk","rub","chop","switch"
18,"leg","skate","leap","stray","slip"
6,"arm","wash","stir","carve","bash"
11,"leg","pace","strut","skip","dance"
16,"leg","creep","glide","stomp","stumble"
4,"arm","grasp","catch","seize","grip"
5,"arm","stab","clean","scratch","hack"
14,"leg","wander","kneel","stamp","climb"
9,"arm","whip","throw","toss","scrape"
13,"leg","wade","tiptoe","tread","hike"
17,"leg","jog","run","kick","flee"
8,"arm","wipe","clap","click","grab"
12,"leg","step","stroll","jump","walk"
7,"arm","nip","knock","dig","scrub"
3,"arm","bind","lift","brush","fold"
