"item","type","word1","word2","word3","word4"
4,"arm","catch","seize","grip","grasp"
7,"arm","dig","knock","scrub","nip"
16,"leg","stomp","glide","creep","stumble"
15,"leg","trot","crawl","sprint","slide"
1,"arm","peel","braid","pull","pat"
2,"arm","rub","dunk","switch","chop"
13,"leg","wade","hike","tread","tiptoe"
5,"arm","scratch","clean","stab","hack"
9,"arm","whip","toss","scrape","throw"
17,"leg","jog","kick","run","flee"
14,"leg","kneel","stamp","climb","wander"
11,"leg","skip","dance","pace","strut"
6,"arm","wash","carve","bash","stir"
18,"leg","stray","slip","skate","leap"
3,"arm","brush","lift","fold","bind"
12,"leg","jump","step","walk","stroll"
8,"arm","grab","click","clap","wipe"
10,"leg","hop","limp","stride","mount"
