"item","type","word1","word2","word3","word4"
18,"leg","leap","slip","stray","skate"
6,"arm","stir","wash","bash","carve"
4,"arm","grip","catch","grasp","seize"
11,"leg","strut","pace","dance","skip"
12,"leg","walk","step","jump","stroll"
13,"leg","hike","tiptoe","wade","tread"
1,"arm","peel","pat","braid","pull"
3,"arm","bind","brush","lift","fold"
7,"arm","nip","scrub","knock","dig"
14,"leg","kneel","climb","wander","stamp"
2,"arm","dunk","chop","switch","rub"
16,"leg","stomp","glide","stumble","creep"
9,"arm","toss","whip","throw","scrape"
10,"leg","stride","limp","hop","mount"
15,"leg","sprint","trot","crawl","slide"
17,"leg","kick","flee","jog","run"
8,"arm","grab","clap","wipe","click"
5,"arm","stab","clean","scratch","hack"
