"item","type","word1","word2","word3","word4"
12,"leg","walk","stroll","jump","step"
8,"arm","click","wipe","grab","clap"
6,"arm","stir","carve","wash","bash"
15,"leg","sprint","crawl","trot","slide"
7,"arm","dig","knock","scrub","nip"
14,"leg","climb","wander","stamp","kneel"
18,"leg","skate","leap","stray","slip"
11,"leg","dance","pace","skip","strut"
5,"arm","clean","stab","scratch","hack"
1,"arm","braid","pull","peel","pat"
16,"leg","glide","stumble","stomp","creep"
9,"arm","toss","scrape","throw","whip"
13,"leg","tiptoe","hike","tread","wade"
17,"leg","jog","kick","run","flee"
4,"arm","catch","seize","grasp","grip"
3,"arm","fold","brush","lift","bind"
2,"arm","switch","dunk","chop","rub"
10,"leg","mount","stride","hop","limp"
