"item","type","word1","word2","word3","word4"
1,"arm","braid","pat","pull","peel"
10,"leg","stride","hop","limp","mount"
5,"arm","scratch","hack","stab","clean"
11,"leg","dance","strut","pace","skip"
16,"leg","creep","stumble","glide","stomp"
7,"arm","nip","scrub","dig","knock"
3,"arm","brush","bind","fold","lift"
15,"leg","trot","sprint","crawl","slide"
2,"arm","switch","dunk","rub","chop"
12,"leg","walk","stroll","step","jump"
14,"leg","climb","stamp","wander","kneel"
4,"arm","grip","grasp","seize","catch"
18,"leg","skate","slip","leap","stray"
17,"leg","run","kick","flee","jog"
6,"arm","wash","carve","bash","stir"
13,"leg","wade","tiptoe","tread","hike"
8,"arm","grab","clap","wipe","click"
9,"arm","throw","whip","scrape","toss"
