"item","type","word1","word2","word3","word4"
17,"leg","jog","kick","flee","run"
7,"arm","knock","nip","dig","scrub"
11,"leg","pace","dance","skip","strut"
2,"arm","dunk","rub","chop","switch"
18,"leg","skate","slip","stray","leap"
10,"leg","stride","limp","hop","mount"
6,"arm","wash","carve","stir","bash"
12,"leg","step","jump","stroll","walk"
5,"arm","clean","stab","hack","scratch"
3,"arm","brush","bind","fold","lift"
16,"leg","creep","glide","stumble","stomp"
8,"arm","grab","click","wipe","clap"
15,"leg","crawl","sprint","slide","trot"
4,"arm","grasp","catch","seize","grip"
9,"arm","toss","scrape","throw","whip"
13,"leg","hike","tiptoe","wade","tread"
14,"leg","climb","stamp","wander","kneel"
1,"arm","braid","pat","peel","pull"
