"item","type","word1","word2","word3","word4"
11,"leg","skip","pace","strut","dance"
10,"leg","stride","hop","limp","mount"
3,"arm","brush","lift","bind","fold"
16,"leg","creep","stomp","glide","stumble"
4,"arm","grasp","catch","grip","seize"
13,"leg","wade","tread","hike","tiptoe"
5,"arm","stab","scratch","hack","clean"
17,"leg","flee","run","jog","kick"
1,"arm","braid","peel","pull","pat"
2,"arm","rub","switch","dunk","chop"
14,"leg","wander","kneel","stamp","climb"
9,"arm","throw","toss","whip","scrape"
7,"arm","nip","scrub","dig","knock"
15,"leg","trot","crawl","sprint","slide"
6,"arm","bash","carve","wash","stir"
12,"leg","jump","walk","step","stroll"
8,"arm","clap","grab","wipe","click"
18,"leg","stray","slip","leap","skate"
