"item","type","word1","word2","word3","word4"
11,"leg","pace","strut","skip","dance"
13,"leg","wade","tiptoe","tread","hike"
2,"arm","dunk","switch","chop","rub"
5,"arm","hack","stab","clean","scratch"
8,"arm","grab","clap","click","wipe"
18,"leg","skate","slip","leap","stray"
10,"leg","stride","mount","hop","limp"
6,"arm","bash","carve","stir","wash"
12,"leg","walk","jump","step","stroll"
4,"arm","catch","grasp","grip","seize"
9,"arm","throw","toss","whip","scrape"
7,"arm","knock","nip","scrub","dig"
15,"leg","trot","sprint","crawl","slide"
3,"arm","brush","lift","bind","fold"
14,"leg","kneel","wander","stamp","climb"
1,"arm","pat","peel","pull","braid"
17,"leg","run","flee","jog","kick"
16,"leg","glide","creep","stumble","stomp"
