"item","type","word1","word2","word3","word4"
12,"leg","walk","step","jump","stroll"
17,"leg","run","flee","kick","jog"
16,"leg","stumble","stomp","creep","glide"
8,"arm","clap","wipe","grab","click"
3,"arm","brush","lift","bind","fold"
5,"arm","clean","scratch","hack","stab"
18,"leg","leap","skate","stray","slip"
14,"leg","stamp","wander","kneel","climb"
2,"arm","chop","dunk","rub","switch"
9,"arm","throw","toss","scrape","whip"
10,"leg","limp","mount","stride","hop"
15,"leg","sprint","slide","trot","crawl"
7,"arm","knock","nip","scrub","dig"
11,"leg","strut","dance","pace","skip"
13,"leg","tread","tiptoe","hike","wade"
4,"arm","grip","catch","grasp","seize"
1,"arm","peel","braid","pat","pull"
6,"arm","bash","stir","carve","wash"
