"item","type","word1","word2","word3","word4"
16,"leg","stomp","glide","stumble","creep"
8,"arm","clap","click","grab","wipe"
10,"leg","mount","stride","hop","limp"
5,"arm","stab","clean","hack","scratch"
18,"leg","stray","skate","leap","slip"
14,"leg","stamp","climb","wander","kneel"
1,"arm","braid","pull","pat","peel"
4,"arm","grasp","grip","seize","catch"
3,"arm","brush","bind","lift","fold"
12,"leg","step","walk","jump","stroll"
2,"arm","chop","switch","dunk","rub"
13,"leg","wade","hike","tread","tiptoe"
15,"leg","sprint","crawl","slide","trot"
7,"arm","scrub","nip","dig","knock"
6,"arm","stir","carve","wash","bash"
17,"leg","flee","jog","run","kick"
9,"arm","throw","scrape","whip","toss"
11,"leg","strut","pace","dance","skip"
