"item","type","word1","word2","word3","word4"
6,"arm","carve","wash","stir","bash"
13,"leg","wade","hike","tiptoe","tread"
16,"leg","creep","stumble","glide","stomp"
9,"arm","scrape","throw","toss","whip"
11,"leg","pace","skip","strut","dance"
8,"arm","wipe","grab","clap","click"
17,"leg","jog","flee","run","kick"
15,"leg","crawl","sprint","trot","slide"
1,"arm","pull","braid","peel","pat"
3,"arm","bind","lift","fold","brush"
14,"leg","kneel","wander","climb","stamp"
4,"arm","catch","grasp","grip","seize"
18,"leg","leap","skate","slip","stray"
7,"arm","scrub","nip","knock","dig"
10,"leg","limp","mount","stride","hop"
2,"arm","chop","dunk","rub","switch"
5,"arm","hack","scratch","stab","clean"
12,"leg","stroll","walk","step","jump"
