"item","type","word1","word2","word3","word4"
5,"arm","stab","clean","hack","scratch"
16,"leg","stumble","stomp","creep","glide"
14,"leg","kneel","climb","stamp","wander"
9,"arm","toss","whip","throw","scrape"
17,"leg","kick","jog","run","flee"
13,"leg","hike","tiptoe","wade","tread"
15,"leg","trot","crawl","sprint","slide"
8,"arm","grab","click","clap","wipe"
3,"arm","bind","brush","lift","fold"
4,"arm","grip","seize","grasp","catch"
10,"leg","limp","hop","stride","mount"
7,"arm","dig","scrub","nip","knock"
18,"leg","stray","slip","leap","skate"
2,"arm","switch","rub","dunk","chop"
12,"leg","walk","jump","stroll","step"
1,"arm","pull","peel","pat","braid"
6,"arm","carve","wash","bash","stir"
11,"leg","strut","dance","pace","skip"
