"item","type","word1","word2","word3","word4"
6,"arm","stir","carve","wash","bash"
13,"leg","hike","wade","tiptoe","tread"
15,"leg","slide","trot","sprint","crawl"
9,"arm","whip","throw","toss","scrape"
12,"leg","step","jump","stroll","walk"
2,"arm","chop","dunk","rub","switch"
3,"arm","brush","fold","bind","lift"
10,"leg","stride","mount","hop","limp"
1,"arm","pat","peel","braid","pull"
4,"arm","seize","grasp","catch","grip"
14,"leg","kneel","stamp","wander","climb"
5,"arm","clean","scratch","hack","stab"
16,"leg","glide","creep","stomp","stumble"
18,"leg","skate","stray","leap","slip"
8,"arm","wipe","grab","clap","click"
17,"leg","run","flee","kick","jog"
7,"arm","scrub","knock","nip","dig"
11,"leg","dance","skip","pace","strut"
