"item","type","word1","word2","word3","word4"
16,"leg","glide","creep","stomp","stumble"
7,"arm","scrub","nip","knock","dig"
12,"leg","walk","jump","stroll","step"
10,"leg","mount","limp","stride","hop"
9,"arm","toss","scrape","throw","whip"
1,"arm","peel","pull","pat","braid"
17,"leg","jog","kick","flee","run"
14,"leg","kneel","wander","stamp","climb"
5,"arm","scratch","clean","hack","stab"
4,"arm","grasp","seize","grip","catch"
18,"leg","slip","skate","leap","stray"
11,"leg","strut","pace","dance","skip"
15,"leg","slide","crawl","trot","sprint"
3,"arm","bind","lift","fold","brush"
2,"arm","rub","switch","dunk","chop"
13,"leg","tread","tiptoe","wade","hike"
8,"arm","click","grab","clap","wipe"
6,"arm","carve","stir","wash","bash"
