"item","type","word1","word2","word3","word4"
18,"leg","skate","leap","slip","stray"
16,"leg","stomp","stumble","glide","creep"
7,"arm","dig","nip","knock","scrub"
15,"leg","sprint","slide","trot","crawl"
14,"leg","stamp","kneel","wander","climb"
10,"leg","hop","stride","limp","mount"
4,"arm","grip","grasp","seize","catch"
9,"arm","toss","scrape","whip","throw"
5,"arm","hack","clean","stab","scratch"
12,"leg","step","stroll","walk","jump"
8,"arm","grab","clap","wipe","click"
17,"leg","kick","jog","flee","run"
6,"arm","bash","carve","stir","wash"
2,"arm","rub","chop","dunk","switch"
13,"leg","tiptoe","tread","hike","wade"
1,"arm","pat","pull","peel","braid"
11,"leg","skip","strut","pace","dance"
3,"arm","fold","bind","lift","brush"
