"item","type","word1","word2","word3","word4"
11,"leg","pace","skip","dance","strut"
16,"leg","glide","stumble","stomp","creep"
2,"arm","rub","chop","switch","dunk"
3,"arm","fold","bind","lift","brush"
15,"leg","sprint","slide","crawl","trot"
7,"arm","nip","scrub","knock","dig"
17,"leg","flee","jog","run","kick"
9,"arm","whip","throw","scrape","toss"
13,"leg","tiptoe","tread","hike","wade"
8,"arm","clap","grab","click","wipe"
14,"leg","stamp","wander","kneel","climb"
1,"arm","pat","pull","braid","peel"
12,"leg","walk","stroll","step","jump"
5,"arm","clean","hack","stab","scratch"
4,"arm","grasp","catch","grip","seize"
6,"arm","carve","bash","stir","wash"
18,"leg","leap","skate","stray","slip"
10,"leg","limp","mount","hop","stride"
