"item","type","word1","word2","word3","word4"
10,"leg","limp","mount","stride","hop"
7,"arm","nip","knock","dig","scrub"
2,"arm","rub","chop","dunk","switch"
14,"leg","wander","stamp","climb","kneel"
3,"arm","lift","brush","bind","fold"
12,"leg","step","stroll","jump","walk"
8,"arm","grab","click","clap","wipe"
18,"leg","slip","skate","stray","leap"
11,"leg","skip","strut","dance","pace"
1,"arm","pull","peel","braid","pat"
16,"leg","stumble","stomp","glide","creep"
15,"leg","slide","sprint","trot","crawl"
4,"arm","catch","grip","seize","grasp"
6,"arm","wash","stir","carve","bash"
5,"arm","scratch","stab","hack","clean"
17,"leg","jog","run","flee","kick"
9,"arm","scrape","whip","throw","toss"
13,"leg","tiptoe","tread","wade","hike"
