"item","type","word1","word2","word3","word4"
6,"arm","wash","carve","stir","bash"
8,"arm","grab","click","wipe","clap"
7,"arm","knock","nip","dig","scrub"
10,"leg","hop","stride","mount","limp"
9,"arm","toss","throw","whip","scrape"
3,"arm","brush","bind","lift","fold"
16,"leg","stumble","creep","stomp","glide"
12,"leg","walk","stroll","step","jump"
18,"leg","stray","skate","slip","leap"
2,"arm","rub","chop","dunk","switch"
4,"arm","catch","grip","seize","grasp"
5,"arm","stab","scratch","hack","clean"
13,"leg","wade","tread","tiptoe","hike"
17,"leg","jog","flee","kick","run"
14,"leg","wander","climb","stamp","kneel"
1,"arm","peel","pull","pat","braid"
15,"leg","slide","trot","sprint","crawl"
11,"leg","dance","skip","strut","pace"
