"item","type","word1","word2","word3","word4"
13,"leg","tread","wade","hike","tiptoe"
17,"leg","run","jog","kick","flee"
18,"leg","slip","skate","stray","leap"
7,"arm","nip","dig","knock","scrub"
4,"arm","catch","grasp","seize","grip"
16,"leg","glide","stumble","creep","stomp"
12,"leg","step","jump","walk","stroll"
6,"arm","bash","wash","carve","stir"
15,"leg","sprint","crawl","trot","slide"
5,"arm","stab","hack","scratch","clean"
3,"arm","brush","lift","bind","fold"
10,"leg","limp","stride","hop","mount"
11,"leg","strut","pace","skip","dance"
8,"arm","clap","wipe","grab","click"
1,"arm","peel","braid","pull","pat"
2,"arm","chop","rub","switch","dunk"
14,"leg","climb","wander","kneel","stamp"
9,"arm","throw","whip","scrape","toss"
