"item","type","word1","word2","word3","word4"
2,"arm","rub","switch","dunk","chop"
10,"leg","stride","mount","hop","limp"
12,"leg","step","jump","walk","stroll"
1,"arm","braid","pull","pat","peel"
11,"leg","skip","strut","pace","dance"
6,"arm","bash","wash","stir","carve"
14,"leg","stamp","kneel","climb","wander"
7,"arm","dig","scrub","nip","knock"
15,"leg","trot","crawl","slide","sprint"
3,"arm","brush","bind","fold","lift"
8,"arm","click","clap","wipe","grab"
5,"arm","hack","stab","scratch","clean"
17,"leg","kick","jog","run","flee"
18,"leg","leap","slip","skate","stray"
4,"arm","grip","grasp","seize","catch"
13,"leg","wade","hike","tread","tiptoe"
9,"arm","whip","toss","scrape","throw"
16,"leg","glide","creep","stomp","stumble"
