"item","type","word1","word2","word3","word4"
13,"leg","hike","wade","tread","tiptoe"
12,"leg","walk","stroll","jump","step"
15,"leg","slide","trot","sprint","crawl"
8,"arm","grab","clap","wipe","click"
16,"leg","stumble","creep","glide","stomp"
6,"arm","carve","stir","wash","bash"
5,"arm","stab","scratch","hack","clean"
9,"arm","whip","toss","scrape","throw"
14,"leg","wander","climb","kneel","stamp"
2,"arm","dunk","chop","switch","rub"
3,"arm","lift","bind","brush","fold"
18,"leg","stray","slip","skate","leap"
10,"leg","mount","limp","hop","stride"
4,"arm","grip","seize","grasp","catch"
11,"leg","dance","pace","skip","strut"
7,"arm","nip","knock","dig","scrub"
17,"leg","kick","jog","run","flee"
1,"arm","braid","pat","peel","pull"
