"item","type","word1","word2","word3","word4"
2,"arm","rub","chop","switch","dunk"
1,"arm","braid","pat","pull","peel"
14,"leg","climb","kneel","wander","stamp"
12,"leg","stroll","walk","step","jump"
10,"leg","limp","mount","hop","stride"
8,"arm","clap","wipe","click","grab"
15,"leg","slide","trot","sprint","crawl"
4,"arm","catch","grasp","grip","seize"
9,"arm","scrape","whip","toss","throw"
13,"leg","tiptoe","wade","tread","hike"
7,"arm","scrub","dig","nip","knock"
17,"leg","run","flee","kick","jog"
11,"leg","skip","dance","strut","pace"
16,"leg","stumble","glide","creep","stomp"
5,"arm","hack","stab","scratch","clean"
18,"leg","stray","skate","slip","leap"
6,"arm","carve","bash","stir","wash"
3,"arm","fold","bind","brush","lift"
