"item","type","word1","word2","word3","word4"
18,"leg","leap","skate","slip","stray"
8,"arm","clap","wipe","grab","click"
15,"leg","trot","crawl","sprint","slide"
7,"arm","dig","nip","scrub","knock"
10,"leg","hop","limp","stride","mount"
6,"arm","stir","wash","carve","bash"
4,"arm","catch","grasp","grip","seize"
12,"leg","stroll","step","walk","jump"
5,"arm","clean","hack","stab","scratch"
13,"leg","wade","hike","tiptoe","tread"
9,"arm","toss","scrape","whip","throw"
2,"arm","dunk","chop","switch","rub"
11,"leg","dance","pace","skip","strut"
1,"arm","pull","pat","braid","peel"
14,"leg","wander","climb","stamp","kneel"
3,"arm","brush","fold","bind","lift"
16,"leg","stumble","glide","stomp","creep"
17,"leg","run","kick","jog","flee"
