"item","type","word1","word2","word3","word4"
17,"leg","run","kick","flee","jog"
7,"arm","scrub","dig","knock","nip"
4,"arm","catch","grip","seize","grasp"
11,"leg","skip","pace","strut","dance"
8,"arm","wipe","click","clap","grab"
14,"leg","kneel","stamp","climb","wander"
10,"leg","limp","stride","hop","mount"
12,"leg","stroll","jump","walk","step"
3,"arm","lift","bind","fold","brush"
5,"arm","clean","hack","stab","scratch"
9,"arm","toss","throw","scrape","whip"
15,"leg","crawl","trot","slide","sprint"
2,"arm","chop","switch","dunk","rub"
13,"leg","tiptoe","hike","wade","tread"
16,"leg","creep","glide","stumble","stomp"
18,"leg","leap","skate","slip","stray"
6,"arm","bash","wash","stir","carve"
1,"arm","peel","pull","braid","pat"
