"item","type","word1","word2","word3","word4"
18,"leg","stray","slip","skate","leap"
16,"leg","stumble","creep","stomp","glide"
13,"leg","tread","hike","wade","tiptoe"
3,"arm","fold","lift","brush","bind"
5,"arm","scratch","hack","stab","clean"
12,"leg","walk","stroll","step","jump"
15,"leg","sprint","slide","trot","crawl"
4,"arm","seize","grip","grasp","catch"
17,"leg","kick","flee","run","jog"
2,"arm","dunk","switch","rub","chop"
10,"leg","mount","hop","stride","limp"
8,"arm","clap","grab","click","wipe"
6,"arm","carve","stir","wash","bash"
7,"arm","knock","nip","dig","scrub"
11,"leg","dance","strut","pace","skip"
14,"leg","stamp","kneel","wander","climb"
1,"arm","pat","peel","pull","braid"
9,"arm","whip","throw","toss","scrape"
