"item","type","word1","word2","word3","word4"
12,"leg","stroll","jump","walk","step"
6,"arm","carve","stir","bash","wash"
13,"leg","wade","hike","tread","tiptoe"
15,"leg","slide","crawl","sprint","trot"
2,"arm","switch","rub","dunk","chop"
11,"leg","pace","dance","skip","strut"
8,"arm","grab","wipe","click","clap"
4,"arm","grasp","grip","seize","catch"
14,"leg","kneel","stamp","climb","wander"
18,"leg","leap","slip","skate","stray"
10,"leg","hop","limp","stride","mount"
9,"arm","toss","scrape","whip","throw"
3,"arm","brush","bind","fold","lift"
16,"leg","stomp","creep","glide","stumble"
17,"leg","run","flee","kick","jog"
7,"arm","dig","knock","scrub","nip"
1,"arm","peel","pat","pull","braid"
5,"arm","scratch","clean","hack","stab"
