"item","type","word1","word2","word3","word4"
14,"leg","stamp","wander","climb","kneel"
12,"leg","jump","stroll","walk","step"
5,"arm","scratch","clean","stab","hack"
11,"leg","strut","pace","dance","skip"
3,"arm","bind","fold","brush","lift"
13,"leg","wade","tread","tiptoe","hike"
15,"leg","sprint","trot","crawl","slide"
1,"arm","pat","peel","braid","pull"
16,"leg","creep","stomp","stumble","glide"
9,"arm","toss","throw","whip","scrape"
6,"arm","bash","wash","carve","stir"
10,"leg","limp","mount","stride","hop"
18,"leg","leap","skate","slip","stray"
2,"arm","dunk","rub","switch","chop"
7,"arm","dig","knock","scrub","nip"
8,"arm","wipe","click","grab","clap"
17,"leg","run","flee","jog","kick"
4,"arm","grasp","seize","grip","catch"
