"item","type","word1","word2","word3","word4"
5,"arm","clean","scratch","stab","hack"
13,"leg","tread","hike","tiptoe","wade"
9,"arm","whip","throw","toss","scrape"
17,"leg","flee","jog","kick","run"
11,"leg","strut","pace","skip","dance"
12,"leg","step","walk","jump","stroll"
4,"arm","grasp","seize","catch","grip"
10,"leg","stride","hop","limp","mount"
7,"arm","scrub","knock","nip","dig"
8,"arm","click","wipe","clap","grab"
15,"leg","sprint","trot","slide","crawl"
16,"leg","stumble","creep","glide","stomp"
3,"arm","lift","bind","fold","brush"
2,"arm","chop","switch","dunk","rub"
18,"leg","leap","stray","skate","slip"
1,"arm","pull","braid","peel","pat"
14,"leg","stamp","kneel","climb","wander"
6,"arm","stir","carve","bash","wash"
