"item","type","word1","word2","word3","word4"
17,"leg","jog","flee","run","kick"
11,"leg","pace","dance","strut","skip"
5,"arm","scratch","clean","hack","stab"
6,"arm","stir","wash","bash","carve"
4,"arm","catch","grip","seize","grasp"
10,"leg","stride","limp","hop","mount"
13,"leg","tread","tiptoe","hike","wade"
1,"arm","pat","braid","pull","peel"
15,"leg","sprint","trot","crawl","slide"
8,"arm","clap","click","wipe","grab"
3,"arm","brush","bind","lift","fold"
9,"arm","toss","throw","scrape","whip"
16,"leg","stomp","creep","glide","stumble"
2,"arm","chop","rub","dunk","switch"
18,"leg","slip","leap","stray","skate"
12,"leg","jump","walk","stroll","step"
14,"leg","wander","stamp","kneel","climb"
7,"arm","dig","scrub","knock","nip"
