"item","type","word1","word2","word3","word4"
18,"leg","slip","skate","leap","stray"
13,"leg","wade","tread","tiptoe","hike"
1,"arm","peel","braid","pull","pat"
15,"leg","sprint","trot","slide","crawl"
5,"arm","scratch","stab","clean","hack"
4,"arm","grasp","grip","seize","catch"
10,"leg","mount","hop","limp","stride"
8,"arm","wipe","clap","click","grab"
2,"arm","switch","chop","rub","dunk"
16,"leg","glide","stomp","creep","stumble"
9,"arm","throw","toss","scrape","whip"
14,"leg","wander","kneel","climb","stamp"
7,"arm","scrub","nip","knock","dig"
17,"leg","run","kick","flee","jog"
12,"leg","walk","stroll","jump","step"
6,"arm","bash","stir","wash","carve"
3,"arm","bind","brush","lift","fold"
11,"leg","dance","strut","skip","pace"
