"item","type","word1","word2","word3","word4"
14,"leg","wander","stamp","climb","kneel"
12,"leg","step","jump","stroll","walk"
5,"arm","stab","clean","hack","scratch"
6,"arm","carve","bash","stir","wash"
9,"arm","whip","throw","toss","scrape"
18,"leg","slip","skate","leap","stray"
8,"arm","clap","grab","wipe","click"
13,"leg","tread","hike","wade","tiptoe"
4,"arm","seize","catch","grip","grasp"
2,"arm","chop","rub","dunk","switch"
10,"leg","limp","stride","mount","hop"
3,"arm","fold","lift","brush","bind"
7,"arm","dig","scrub","nip","knock"
17,"leg","run","flee","jog","kick"
11,"leg","strut","dance","skip","pace"
1,"arm","pat","braid","peel","pull"
16,"leg","glide","stumble","creep","stomp"
15,"leg","sprint","slide","crawl","trot"
