"item","type","word1","word2","word3","word4"
18,"leg","slip","stray","leap","skate"
7,"arm","nip","dig","scrub","knock"
11,"leg","strut","pace","dance","skip"
4,"arm","catch","seize","grasp","grip"
12,"leg","jump","stroll","step","walk"
8,"arm","clap","grab","wipe","click"
15,"leg","trot","crawl","slide","sprint"
17,"leg","kick","run","flee","jog"
3,"arm","bind","brush","fold","lift"
9,"arm","throw","whip","scrape","toss"
16,"leg","stomp","glide","stumble","creep"
2,"arm","dunk","switch","chop","rub"
1,"arm","pull","pat","peel","braid"
10,"leg","stride","mount","limp","hop"
6,"arm","carve","stir","bash","wash"
14,"leg","kneel","climb","wander","stamp"
13,"leg","wade","tiptoe","tread","hike"
5,"arm","clean","scratch","hack","stab"
