"item","type","word1","word2","word3","word4"
14,"leg","climb","kneel","wander","stamp"
1,"arm","pull","peel","pat","braid"
13,"leg","hike","tiptoe","tread","wade"
6,"arm","stir","carve","wash","bash"
17,"leg","kick","flee","jog","run"
8,"arm","clap","click","grab","wipe"
15,"leg","crawl","sprint","trot","slide"
5,"arm","clean","hack","scratch","stab"
9,"arm","whip","scrape","toss","throw"
4,"arm","grasp","grip","seize","catch"
10,"leg","hop","mount","stride","limp"
3,"arm","fold","brush","lift","bind"
16,"leg","glide","creep","stomp","stumble"
7,"arm","knock","nip","dig","scrub"
12,"leg","walk","step","jump","stroll"
18,"leg","leap","slip","skate","stray"
11,"leg","skip","dance","pace","strut"
2,"arm","rub","dunk","chop","switch"
