"item","type","word1","word2","word3","word4"
12,"leg","step","jump","walk","stroll"
7,"arm","dig","knock","nip","scrub"
17,"leg","run","jog","flee","kick"
2,"arm","switch","rub","chop","dunk"
18,"leg","leap","slip","stray","skate"
6,"arm","stir","bash","carve","wash"
10,"leg","mount","limp","stride","hop"
13,"leg","wade","tiptoe","hike","tread"
4,"arm","grasp","catch","grip","seize"
11,"leg","pace","skip","dance","strut"
8,"arm","wipe","grab","clap","click"
1,"arm","pat","peel","braid","pull"
5,"arm","scratch","hack","clean","stab"
14,"leg","climb","wander","kneel","stamp"
15,"leg","slide","trot","crawl","sprint"
9,"arm","throw","toss","whip","scrape"
16,"leg","stumble","stomp","creep","glide"
3,"arm","fold","brush","bind","lift"
