"item","type","word1","word2","word3","word4"
9,"arm","toss","whip","throw","scrape"
7,"arm","nip","knock","scrub","dig"
18,"leg","stray","leap","slip","skate"
14,"leg","stamp","climb","kneel","wander"
6,"arm","bash","wash","carve","stir"
12,"leg","stroll","step","walk","jump"
13,"leg","hike","tread","tiptoe","wade"
15,"leg","crawl","slide","sprint","trot"
5,"arm","stab","clean","hack","scratch"
10,"leg","limp","mount","hop","stride"
16,"leg","stumble","glide","creep","stomp"
3,"arm","brush","fold","lift","bind"
4,"arm","catch","grip","grasp","seize"
1,"arm","pat","pull","braid","peel"
11,"leg","skip","strut","pace","dance"
2,"arm","switch","chop","dunk","rub"
17,"leg","kick","jog","run","flee"
8,"arm","click","clap","wipe","grab"
