"item","type","word1","word2","word3","word4"
3,"arm","fold","lift","brush","bind"
18,"leg","slip","leap","stray","skate"
9,"arm","whip","throw","toss","scrape"
7,"arm","scrub","nip","knock","dig"
11,"leg","skip","strut","dance","pace"
10,"leg","limp","hop","mount","stride"
5,"arm","hack","stab","scratch","clean"
1,"arm","peel","pat","pull","braid"
4,"arm","grip","grasp","catch","seize"
15,"leg","trot","sprint","crawl","slide"
16,"leg","glide","stomp","stumble","creep"
6,"arm","stir","wash","carve","bash"
14,"leg","wander","stamp","kneel","climb"
8,"arm","grab","clap","wipe","click"
12,"leg","walk","jump","step","stroll"
13,"leg","tiptoe","tread","hike","wade"
17,"leg","run","kick","jog","flee"
2,"arm","rub","switch","chop","dunk"
