"verb","translation_simple","translation_details","comment","Score1","Score_comment1","Score2","Score_comment2","Agreed"
"step","steg in","","",-99,"this culd be interpreted as the correct verb that is inflected in the past tense. However, adding the particle ""in"" makes the translation a bit off. ",-99,"inget verb, annars korrekt",1
"step","stega","","",1,"",1,"",1
"step","stiga","","",1,"",1,"",1
"step","ta ett steg","","",1,"",1,"",1
"stir","blanda","typ","",0,"",0.5,"",0
"stir","hälla","","",0,"",0,"",1
"stir","jag vet inte","","",0,"",0,"",1
"stir","röra","","",1,"",1,"",1
"stir","röra om","","",1,"",1,"",1
"stir","röra runt","","",1,"",1,"",1
"stir","stirra","","",0,"",0,"",1
"stomp","jag vet inte","jag tror det har med ben och fötter att göra","",0,"",0,"",1
"stomp","jag vet inte","","",0,"",0,"",1
"stomp","stampa","kan man väl göra med potatis också?","",1,"",1,"",1
"stomp","stampa","tror jag","",1,"",1,"",1
"stomp","stampa","","",1,"",1,"",1
"straddle","att kliva på typ en häst eller en cykel","","",1,"",0,"",0
"straddle","grensla","","",1,"",1,"",1
"straddle","jag vet inte","","",0,"",0,"",1
"straddle","vet inte","strosa kanske","",0,"",0,"",1
"straddle","","är något ord för att gå","",0,"",0,"",1
"stray","dröja sig kvar","","",0,"",0,"",1
"stray","gå","typ","",0.5,"",0.5,"",1
"stray","gå","typ att... Ja men typ gå","",0.5,"",0.5,"",1
"stray","gå omkring men inte snabbt","en synonym för att gå","",1,"",0.5,"",0
"stray","jag vet inte","","",0,"",0,"",1
"stray","strosa","","",1,"",1,"",1
"stray","strö","inte säker men tror det har med strö att göra","",0,"",0,"",1
"stray","ströva","","",1,"",1,"",1
"stray","vandra iväg, strosa","","",1,"",1,"",1
"stride","förflytta sig framåt","","",0.5,"",0.5,"",1
"stride","jag vet inte","jag vet inte exakt, nånting som har med att ta sig fram på benen att göra","",0,"",0,"",1
"stride","jag vet inte","man är ute och går","",0,"",0,"",1
"stride","jag vet inte","","",0,"",0,"",1
"stride","promenera, gå","kanske","",0.5,"",0.5,"",1
"stride","promenera, gå, strosa","kanske","",0.5,"",0.5,"",1
"stride","skrida","","",0.5,"",0,"",0
"stride","strida","","",0,"",0,"",1
"stroll","flanera, gå mysigt","typ","",1,"",1,"",1
"stroll","gå","","",0.5,"",0.5,"",1
"stroll","gå omkring","","",0.5,"",0.5,"",1
"stroll","gå, spatsera, lunka","det är en synonym till gå","",1,"",1,"",1
"stroll","jag vet inte","","",0,"",0,"",1
"stroll","promenera","","",1,"",1,"",1
"stroll","strosa","","",1,"",1,"",1
"stroll","vandra, promenera","typ vandra… promenera kanske","",1,"",1,"",1
"strut","gå konstigt","känns som att det är någon som går konstigt, jag vet inte hur","",0.5,"",0,"",0
"strut","gå, spatsera","typ","",0.5,"",1,"",0
"strut","jag vet inte","","",0,"",0,"",1
"strut","spatsera","","",0.5,"",1,"",0
"strut","strosa","framåt på något sätt","",0,"",0,"",1
"strut","strutta","osäker","",1,"",1,"",1
"strut","strutta","","",1,"",1,"",1
"stumble","fumla","","",0,"",0,"",1
"stumble","halta lite grann","","",1,"",0,"",0
"stumble","jag vet inte","","",0,"",0,"",1
"stumble","ostadig i benen","ostadigt i benen men kommer inte på den exakta översättningen","",0,"",0.5,"",0
"stumble","snubbla","","",1,"",1,"",1
"stumble","snubbla, snava","","",1,"",1,"",1
"stumble","vackla","","",1,"",0,"",0
"sway","jag vet inte","","",0,"",0,"",1
"sway","svaja","","",1,"",1,"",1
"sway","svassa","","",0,"",0,"",1
"sway","svinga","jag tror det betyder svinga","",0,"",0,"",1
"sway","svinga","","",0,"",0,"",1
"sway","sväva ","eller nåt man gör när man dansar typ","",0,"",0,"",1
"sway","sväva, flyga","","",0,"",0,"",1
"switch","byta","","",1,"",-99,"korrekt men inte den armrelaterade betydelsen vi menar",0
"switch","jag vet inte","","",0,"",0,"",1
"switch","slå av/på, byta, knäppa","""knäppa kanske""","",1,"",1,"",1
"switch","slå på","jag är inte säker men jag gissar på slå på","",1,"",1,"",1
"switch","stänga av, ändra","","",1,"",1,"",1
"switch","växla","","",1,"",-99,"korrekt men inte den armrelaterade betydelsen vi menar",0
"switch","ändra","","",1,"",-99,"korrekt men inte den armrelaterade betydelsen vi menar",0
"throw","jag vet inte","","",0,"",0,"",1
"throw","kasta","","",1,"",1,"",1
"tiptoe","gå på tå","","",1,"",1,"",1
"tiptoe","jag vet inte","","",0,"",0,"",1
"tiptoe","smyga","kanske","",1,"",0.5,"",0
"tiptoe","smyga","","",1,"",0.5,"",0
"tiptoe","smyga på tå","","",1,"",1,"",1
"tiptoe","stå på tå","","",1,"",0,"",0
"tiptoe","tassa","","",1,"",1,"",1
"tiptoe","tassa, gå på tå","","",1,"",1,"",1
"tiptoe","trippa","","",1,"",1,"",1
"toddle","jag vet inte","","",0,"",0,"",1
"toddle","krypa","","",0,"",0,"",1
"toddle","skaka om, skaka","","",0,"",0,"",1
"toddle","stappla","""det måste ju ha med små barn att göra""","",0,"",0,"",1
"toddle","ta sig fram lite ostadigt","kommer inte exakt på något men att ta sig fram lite ostadigt","",0.5,"",0.5,"",1
"toddle","","instabil, benrelaterat tror jag","",0,"",0,"",1
"toss","dra","dra tror jag","",0,"",0,"",1
"toss","dra ","","",0,"",0,"",1
"toss","jag vet inte","det är iaf fotrelaterat, men jag vet inte vad det betyder","",0,"",0,"",1
"toss","jag vet inte","","",0,"",0,"",1
"toss","kasta","","",1,"",1,"",1
"toss","slänga","","",1,"",1,"",1
"toss","smyga","","",0,"",0,"",1
"totter","jag vet inte","osäker men jag tror det har mer med armar än med ben att göra","",0,"",0,"",1
"totter","jag vet inte","","",0,"",0,"",1
"totter","promenera","jag vet inte känns som att typ promenera","",0,"",0,"",1
"totter","vet inte","","",0,"",0,"",1
"traipse","ingen aning","","",0,"",0,"",1
"traipse","jag vet inte","ingen aning","",0,"",0,"",1
"traipse","jag vet inte","inte en aning","",0,"",0,"",1
"traipse","jag vet inte","osäker men tror att det har med ben att göra","",0,"",0,"",1
"traipse","jag vet inte","","",0,"",0,"",1
"traipse","trippa","fast jag vet inte","",0,"",0,"",1
"traipse","vet inte","","",0,"",0,"",1
"tramp","jag vet inte","osäker men tror att det har med ben att göra","",0,"",0,"",1
"tramp","jag vet inte","","",0,"",0,"",1
"tramp","stå på, trampa på","","",1,"",1,"",1
"tramp","trampa","kanske","",1,"",1,"",1
"tramp","trampa","","",1,"",1,"",1
"trample","jag vet inte","","",0,"",0,"",1
"trample","trampa","""jag vet inte vad det är men det låter typ som trampa osäker""","",1,"",0.5,"",0
"trample","trampa","","",1,"",0.5,"",0
"trample","vet inte","","",0,"",0,"",1
"tread","beträda, stå på","","",0.5,"",1,"",0
"tread","gå försiktigt","typ","",0.5,"",0,"",0
"tread","ingen aning","","",0,"",0,"",1
"tread","jag vet inte","","",0,"",0,"",1
"tread","smyg","","",0,"",0,"",1
"tread","tråda","","",0,"",0,"",1
"tread","trä","tror jag","",0,"",-99,"korrekt men inte den benrelaterade betydelsen vi menar",0
"tread","trä en tråd i en nål","","",0,"",-99,"korrekt men inte den benrelaterade betydelsen vi menar",0
"tread","trä på nånting","","",0,"",-99,"korrekt men inte den benrelaterade betydelsen vi menar",0
"trek","hajka","också typ hajka","",1,"",1,"",1
"trek","hajka","","",1,"",1,"",1
"trek","jag vet inte","låter benrelaterat","",0,"",0,"",1
"trek","jag vet inte","","",0,"",0,"",1
"trek","vandra","det känns som att det betyder att vandra ungefär","",1,"",1,"",1
"trek","vandra","","",1,"",1,"",1
"trek","vandra, promenera","eller nåt sånt","",1,"",1,"",1
"trip","jag vet inte","","",0,"",0,"",1
"trip","ramla","","",1,"",1,"",1
"trip","snubbla","","",1,"",1,"",1
"trip","snubbla, ramla","","",1,"",1,"",1
"trip","trilla","","",1,"",1,"",1
"trip","trippa, gå stilla/lugnt/försiktigt","","",1,"",1,"",1
"trot","jag vet inte","tror att det är benrelaterat","",0,"",0,"",1
"trot","jag vet inte","","",0,"",0,"",1
"trot","smyga, gå lite försiktigt","","",0,"",0,"",1
"trot","strutta","kanske","",0,"",0,"",1
"trot","trava","","",1,"",1,"",1
"trudge","jag vet inte","""ingen aning""","",0,"",0,"",1
"trudge","jag vet inte","","",0,"",0,"",1
"trudge","truga","","",0,"",0,"",1
"trudge","trycka in, pressa in mellan","","",0,"",0,"",1
"trudge","vet inte","","",0,"",0,"",1
"tug","bogsera","","",-99,"correct but not the meaning we were looking for",-99,"korrekt, men inte den armrelaterade betydelsen vi menar",1
"tug","dra","","",1,"",1,"",1
"tug","dra ","","",1,"",1,"",1
"tug","drag","","",0,"",-99,"inget verb, men korrekt",0
"tug","ingen aning","","",0,"",0,"",1
"tug","jag vet inte","aldrig hört","",0,"",0,"",1
"tug","jag vet inte","","",0,"",0,"",1
"tug","krama","""typ krama kanske""","",0,"",0,"",1
"tug","vet inte","","",0,"",0,"",1
"twine","jag vet inte","","",0,"",0,"",1
"twine","tvina","","",0,"",0,"",1
"twine","tvinna","","",1,"",1,"",1
"twine","tvinna ","twine tror jag betyder tvinna","",1,"",1,"",1
"waddle","jag vet inte","har med gå att göra","",0,"",0,"",1
"waddle","jag vet inte","","",0,"",0,"",1
"waddle","vanka","","",1,"",1,"",1
"waddle","vet inte","","",0,"",0,"",1
"waddle","vingla","typ vingla kanske","",1,"",0,"",0
"wade","jag vet inte","","",0,"",0,"",1
"wade","vada","","",1,"",1,"",1
"walk","gå","","",1,"",1,"",1
"walk","promenera","","",1,"",1,"",1
"walk","promenera, gå","","",1,"",1,"",1
"wander","gå omkring lite förvirrat","","",1,"",1,"",1
"wander","jag vet inte","","",0,"",0,"",1
"wander","strosa","","",1,"",1,"",1
"wander","undra","","",0,"",0,"",1
"wander","vandra","kanske","",1,"",1,"",1
"wander","vandra","nej skit samma det är inte det","",1,"",1,"",1
"wander","vandra","typ","",1,"",1,"",1
"wander","vandra","","",1,"",1,"",1
"wander","vandra, gå omkring","","",1,"",1,"",1
"wash","tvätta","","",1,"",1,"",1
"whip","jag vet inte","","",0,"",0,"",1
"whip","piska","kanske","",1,"",1,"",1
"whip","piska","","",1,"",1,"",1
"whip","piska, vispa","","",1,"",1,"",1
"whip","vippa","det gör man med handen, jag kommer inte på ordet vippa","",0,"",0,"",1
"whip","vispa","","",1,"",1,"",1
"wipe","ingen aning","""wimp, ingen aning""","",0,"",0,"",1
"wipe","jag vet inte","","",0,"",0,"",1
"wipe","piska","","",0,"",0,"",1
"wipe","sudda","","",1,"",0,"",0
"wipe","torka","","",1,"",1,"",1
"wipe","torka av","","",1,"",1,"",1
"wobble","jag vet inte","aldrig hört","",0,"",0,"",1
"wobble","jag vet inte","","",0,"",0,"",1
"wobble","snubbla","","",1,"",0,"",0
"wobble","vaja","typ vaja eller om man är instabil på ngt sätt","",1,"",1,"",1
"wobble","vanka","","",0,"",0,"",1
"wobble","vibrera","","",0,"",0,"",1
"wobble","vila","","",0,"",0,"",1
"wobble","vingla","","",1,"",1,"",1
"wrap","avsluta","","",0,"",-99,"korrekt, men inte den armrelaterade betydelsen vi menar",0
"wrap","inlinda","","",1,"",1,"",1
"wrap","jag vet inte","","",0,"",0,"",1
"wrap","linda","","",1,"",0.5,"",0
"wrap","omfamna, slå in","typ","",1,"",1,"",1
"wrap","slå in","","",1,"",1,"",1
"wrap","vira in","","",1,"",1,"",1
"wrap","vira, vira ihop","","",1,"",1,"",1
