"verb","translation_simple","translation_details","comment","Score1","Score_comment1","Score2","Score_comment2","Agreed"
"fold","vika","","",1,"",1,"",1
"gesture","gest, gester","","",-99,"",-99,"inget verb, men annars korrekt",1
"gesture","gestikulera","kanske","",1,"",1,"",1
"gesture","gestikulera","","",1,"",1,"",1
"gesture","jag vet inte","","",0,"",0,"",1
"glide","glida","","",1,"",1,"",1
"glide","jag vet inte","","",0,"",0,"",1
"grab","få tag på, ta tag i","","",1,"",1,"",1
"grab","fånga","","",1,"",1,"",1
"grab","grabba","","",1,"",1,"",1
"grab","grabba tag","","",1,"",1,"",1
"grab","greppa","","",1,"",1,"",1
"grab","gripa tag i, ta tag i","","",1,"",1,"",1
"grab","ta","","",1,"",0.5,"",0
"grab","ta tag","","",1,"",1,"",1
"grab","ta tag i","","",1,"",1,"",1
"grab","ta tag i ","","",1,"",1,"",1
"grasp","fatta","","",1,"",0.5,"",0
"grasp","greppa","","",1,"",1,"",1
"grasp","gripa tag i, greppa","","",1,"",1,"",1
"grasp","häpna, ta sig för andan","","",0,"",0,"",1
"grasp","jag vet inte","jag vet inte översättningen","",0,"",0,"",1
"grasp","jag vet inte","","",0,"",0,"",1
"grasp","nå","","",0,"",0,"",1
"grasp","sträcka sig efter något","","",1,"",0,"",0
"grasp","sträcka sig, grabba tag","","",1,"",1,"",1
"grasp","ta tag i något","","",1,"",1,"",1
"grate","hyvla","","",0,"",0,"",1
"grate","jag vet inte","jag förknippar det med armar","",0,"",0,"",1
"grate","jag vet inte","","",0,"",0,"",1
"grate","riva","","",1,"",1,"",1
"grip","att gripa tag i ngt","kanske","",1,"",1,"",1
"grip","greppa","","",1,"",1,"",1
"grip","gripa","","",1,"",1,"",1
"grip","gripa tag i","","",1,"",1,"",1
"grip","gripa tag i ","kanske jag vet inte","",1,"",1,"",1
"grip","gripa, gripa tag i","","",1,"",1,"",1
"grip","jag vet inte","","",0,"",0,"",1
"grip","ta tag","","",1,"",1,"",1
"grovel","gräva","tror jag men jag är inte säker","",0,"",0,"",1
"grovel","ingen aning","","",0,"",0,"",1
"grovel","jag vet inte","""inte en aning""","",0,"",0,"",1
"grovel","jag vet inte","ingen aning","",0,"",0,"",1
"grovel","jag vet inte","jag tror det har med ben att göra","",0,"",0,"",1
"grovel","jag vet inte","","",0,"",0,"",1
"grovel","ta, grabba tag, snatta","","",0,"",0,"",1
"grovel","vet inte","","",0,"",0,"",1
"hack","göra intrång, bryta sig in","","",-99,"This is correct in a sense, but not the meaning we were looking for.",0.5,"",0
"hack","hacka","","",1,"",1,"",1
"hack","hacka på internet","inte med en hacka","",-99,"This is a correct translation and might be very handrelated, but not the meaning we were looking for. ",0.5,"",0
"hack","jag vet inte","","",0,"",0,"",1
"hack","knäcka något","","",-99,"This is not the meaning we were looking for, and also only sort of correct.",0.5,"",0
"hike","gå på tur, vandra","","",1,"",1,"",1
"hike","gå ut och promenera i skogen","typ","",1,"",1,"",1
"hike","hajka","","",1,"",1,"",1
"hike","hajka, övernatta","","",1,"",1,"",1
"hike","jag vet inte","benrelaterat","",0,"",0,"",1
"hike","jag vet inte","","",0,"",0,"",1
"hike","vandra","""åka på utflykt, äventyr... Nej... Vandra!""","",1,"",1,"",1
"hike","vandra","","ppt pressed wrong: correct choice for hands is 2",1,"",1,"",1
"hike","vandra","","",1,"",1,"",1
"hobble","ingen aning","","",0,"",0,"",1
"hobble","jag vet inte","","",0,"",0,"",1
"hobble","snubbla","""jag vet inte, det låter som snubbla""","",0,"",0,"",1
"hop","hoppa","kanske","",1,"",1,"",1
"hop","hoppa","","",1,"",1,"",1
"hop","hoppa, kliva ombord","","",1,"",1,"",1
"hop","jag vet inte","","",0,"",0,"",1
"hop","skutta","","",1,"",1,"",1
"hug","krama","","",1,"",1,"",1
"hug","kramas","","",1,"",1,"",1
"inch","en bit","inch betyder väl typ en bit, det är inget verb, jag vet inte vad de","",-99,"noun instead of verb",0,"",0
"inch","gå små små steg, smyga","","",1,"",1,"",1
"inch","jag vet inte","","",0,"",0,"",1
"inch","klia","","",0,"",0,"",1
"inch","tumma","","",0,"",0,"",1
"jog","jag vet inte","osäker men förknippar det med armar","",0,"",0,"",1
"jog","jag vet inte","","",0,"",0,"",1
"jog","jogga","","",1,"",1,"",1
"jump","hoppa","","",1,"",1,"",1
"kick","jag vet inte","","",0,"",0,"",1
"kick","klicka","","",0,"",0,"",1
"kick","sparka","","",1,"",1,"",1
"kneel","buga","","",0,"",0,"",1
"kneel","böja","","",0,"",0.5,"",0
"kneel","böja, böja sig","","",0.5,"",0.5,"",1
"kneel","falla på knä","","",1,"",1,"",1
"kneel","gå ner på knä","","",1,"",1,"",1
"kneel","gå ner på knä, knäböja","","",1,"",1,"",1
"kneel","knäa","","",1,"",0,"",0
"kneel","knäböja","","",1,"",1,"",1
"kneel","sitta på knä","knäa, eller nej! … sitta på knä","",1,"",0.5,"",0
"kneel","sy","","",0,"",0,"",1
"knock","knacka","","",1,"",1,"",1
"knock","slå","","",1,"",0,"",0
"leap","hoppa","""typ hoppa""","",1,"",1,"",1
"leap","hoppa","","",1,"",1,"",1
"leap","hoppa, ta ett stort kliv","","",1,"",1,"",1
"leap","jag vet inte","jag vet inte översättningen faktiskt","",0,"",0,"",1
"leap","jag vet inte","","",0,"",0,"",1
"leap","löpa","","",0,"",0,"",1
"leap","springa","","",0,"",0,"",1
"leap","ta ett språng","","",1,"",1,"",1
"lift","bära","","",0,"",0,"",1
"lift","höja","","",1,"",1,"",1
"lift","lyfta","","",1,"",1,"",1
"limp","halta","","",1,"",1,"",1
"limp","halta","","ppt pressed wrong : correct for arms 1 and legs 7",1,"",1,"",1
"limp","jag vet inte","","",0,"",0,"",1
"lumber","fälla ett träd","","",0,"",-99,"korrekt men inte den benrelaterade betydelsen vi menar",0
"lumber","gå","vet inte känns som att typ gå","",-99,"is correct but not the meaning we were looking for",0.5,"",0
"lumber","halta","är osäker men tror det betyder halta","",0.5,"",0,"",0
"lumber","jag vet inte","ingen aning","",0,"",0,"",1
"lumber","jag vet inte","","",0,"",0,"",1
"lumber","lufsa","","",1,"",1,"",1
"lumber","skogshuggeri","","",0,"",-99,"korrekt men inte den benrelaterade betydelsen vi menar",0
"lumber","vandra","","",-99,"noun and also not the meaning we were looking for ",0,"",0
