verb;translation_simple;translation_details;comment;score;score_comment;coder
grovel;jag vet inte;jag tror det har med ben att göra;;0;;
grovel;jag vet inte;;;0;;
grovel;ta, grabba tag, snatta;;;0;;
grovel;vet inte;;;0;;
hack;göra intrång, bryta sig in;;;-99;This is correct in a sense, but not the meaning we were looking for.;
hack;hacka;;;1;;
hack;hacka på internet;inte med en hacka;;-99;This is a correct translation and might be very handrelated, but not the meaning we were looking for. ;
hack;jag vet inte;;;0;;
hack;knäcka något;;;-99;This is not the meaning we were looking for, and also only sort of correct.;
hike;gå på tur, vandra;;;1;;
hike;gå ut och promenera i skogen;typ;;1;;
hike;hajka;;;1;;
hike;hajka, övernatta;;;1;;
hike;jag vet inte;benrelaterat;;0;;
hike;jag vet inte;;;0;;
hike;vandra;"""åka på utflykt, äventyr... Nej... Vandra!""";;1;;
hike;vandra;;ppt pressed wrong: correct choice for hands is 2;1;;
hike;vandra;;;1;;
hobble;ingen aning;;;0;;
hobble;jag vet inte;;;0;;
hobble;snubbla;"""jag vet inte, det låter som snubbla""";;0;;
hop;hoppa;kanske;;1;;
hop;hoppa;;;1;;
hop;hoppa, kliva ombord;;;1;;
hop;jag vet inte;;;0;;
hop;skutta;;;1;;
hug;krama;;;1;;
hug;kramas;;;1;;
inch;en bit;inch betyder väl typ en bit, det är inget verb, jag vet inte vad de;;-99;noun instead of verb;
inch;gå små små steg, smyga;;;1;;
inch;jag vet inte;;;0;;
inch;klia;;;0;;
inch;tumma;;;0;;
jog;jag vet inte;osäker men förknippar det med armar;;0;;
jog;jag vet inte;;;0;;
jog;jogga;;;1;;
jump;hoppa;;;1;;
kick;jag vet inte;;;0;;
kick;klicka;;;0;;
kick;sparka;;;1;;
kneel;buga;;;0;;
kneel;böja;;;0;;
kneel;böja, böja sig;;;0.5;;
kneel;falla på knä;;;1;;
kneel;gå ner på knä;;;1;;
kneel;gå ner på knä, knäböja;;;1;;
kneel;knäa;;;1;;
kneel;knäböja;;;1;;
kneel;sitta på knä;knäa, eller nej! … sitta på knä;;1;;
kneel;sy;;;0;;
knock;knacka;;;1;;
knock;slå;;;1;;
leap;hoppa;"""typ hoppa""";;1;;
leap;hoppa;;;1;;
leap;hoppa, ta ett stort kliv;;;1;;
leap;jag vet inte;jag vet inte översättningen faktiskt;;0;;
leap;jag vet inte;;;0;;
leap;löpa;;;0;;
leap;springa;;;0;;
leap;ta ett språng;;;1;;
lift;bära;;;0;;
lift;höja;;;1;;
lift;lyfta;;;1;;
limp;halta;;;1;;
limp;halta;;ppt pressed wrong : correct for arms 1 and legs 7;1;;
limp;jag vet inte;;;0;;
lumber;fälla ett träd;;;0;;
lumber;gå;vet inte känns som att typ gå;;-99;is correct but not the meaning we were looking for;
lumber;halta;är osäker men tror det betyder halta;;0.5;;
lumber;jag vet inte;ingen aning;;0;;
lumber;jag vet inte;;;0;;
lumber;lufsa;;;1;;
lumber;skogshuggeri;;;0;;
lumber;vandra;;;-99;noun and also not the meaning we were looking for ;
lumber;vanka, halta;"betyder väl vanka.. Halta..eller är det vila? Vanka tror jag""";;0;;
march;marschera;;;1;;
mount;bestiga;;;1;;
mount;grensla;;;0;;
mount;gå uppför, kliva upp på;;;1;;
mount;jag vet inte;;;0;;
mount;kliva på cykeln;typ, men det känns som att man kan använda det i vidare bemärkelse men jag vet inte;;0.5;;
mount;montera;;;1;;
mount;stiga, bestiga;;;1;;
nip;jag vet inte;aldrig hört;;0;;
nip;jag vet inte;;;0;;
nip;nypa;;;1;;
nip;nypa tag i ;jag vet inte jag gissar på nypa tag i;;1;;
nip;nypa, knipsa;;;1;;
pace;bestämma takten;;;0;;
pace;gå långsamt;;;1;;
pace;hastighet;typ men det är ju inte ett verb;;0;;
pace;jag vet inte;kommer inte ihåg vad det betyder;;0;;
pace;jag vet inte;;;0;;
pace;skynda;osäker, men benrelaterat;;0;;
pace;stega;;;0;;
pace;stega upp;;;1;;
pace;takt;;;-99;noun instead of verb;
pace;vagga av och an, gå fram och tillbaka;"""stega, kliva.. Nej vänta""";;1;;
pat;daska till;jag vet inte gissar på typ daska till eller nåt;;0;;
pat;ingen aning;;;0;;
pat;jag vet inte;;;0;;
pat;klappa;;ppt pressed wrong: 7 for hand-relatedness instead of 1;1;;
pat;klappa;;;1;;
pat;klappa, smeka;;;1;;
pedal;cykla;;;0.5;;
pedal;cykla, få pedalerna att snurra;;;1;;
pedal;gasa;;;0;;
pedal;jag vet inte;;;0;;
pedal;paddla;;;0;;
pedal;pedala;;;0;;
pedal;trampa;;;1;;
pedal;trampa på en cykel;;;1;;
pedal;trampa på en pedal;jag skulle gissa att det är när man trampar på en pedal typ på en cykel;;1;;
pedal;;ingen aning låter som nåt fotrelaterat;;0;;
peel;jag vet inte;;;0;;
peel;skala;;;1;;
pinch;jag vet inte;;;0;;
pinch;nypa;kanske;;1;;
pinch;nypa;;;1;;
pinch;nypa ;;;1;;
pinch;sticka;;;0;;
plod;jag vet inte;ingen aning;;0;;
plod;jag vet inte;;;0;;
plod;plöja, ploga;;;0;;
pluck;jag vet inte;;;0;;
pluck;noppa;;;1;;
pluck;plocka;"""alltså som plocka en höna""";;1;;
pluck;plocka;kanske;;1;;
pluck;plocka;osäker, men har med händerna att göra;;1;;
pluck;plocka;typ men inte riktigt;;1;;
pluck;plocka;;;1;;
pluck;vet inte;;;0;;
poke;jag vet inte;;;0;;
poke;peka;;;0;;
poke;peka, signalera, ge lite uppmärksamhet;;;0;;
poke;peta;;;1;;
poke;peta på;;;1;;
poke;peta på någon;peta på någon jobbigt;;1;;
poke;stöta;;;1;;
polish;polera;;;1;;
polish;polera, torka av;;;1;;
polish;putsa;;;1;;
prance;ingen aning;;;0;;
prance;jag vet inte;;;0;;
prance;svassa, gå med lite hoppiga steg, kråma sig;;;1;;
prance;vanka;;;0;;
pull;dra;;;1;;
pull;dra ;;;1;;
pull;jag vet inte;;;0;;
punch;jag vet inte;;;0;;
punch;slå;;;1;;
punch;slå till;;;1;;
punch;sparka, slå;;;1;;
push;knuffa;;;1;;
push;knuffa, tryck;;;1;;
push;putta;"""dra... Nä putta menar jag""";;1;;
push;putta;;;1;;
push;trycka;;;1;;
ramble;driva runt;;;1;;
ramble;jag vet inte;förknippar det med armar;;0;;
ramble;jag vet inte;;;0;;
ramble;raljera;;;0;;
ramble;ramla;nånting med ramla;;0;;
ramble;snubbla;"jag tänker att det är benrelaterat, att snubbla typ""";;0;;
ramble;svaja, rumla runt;kanske;;0;;
roam;gå;jag tror att det är på något vis att gå, nån typ av gång;;0.5;;
roam;ingen aning;;;0;;
roam;jag vet inte;ingen aning;;0;;
roam;jag vet inte;;;0;;
roam;nå, räcka;vet inte riktigt men kanska nå eller räcka;;0;;
roam;ropa/skrika;;;0;;
roam;råma;;;0;;
roam;stryka omkring, gå runt;;;1;;
roam;ströva;;;1;;
row;jag vet inte;;;0;;
row;ro;;;1;;
rub;gnida;;;1;;
rub;gnida in;;;1;;
rub;gnugga;;;1;;
rub;jag vet inte;;;0;;
rub;massera;inte helt säker men… massera;;1;;
rub;skrubba;;;0;;
run;springa;;;1;;
rush;rusa;;;1;;
rush;rusa, rusha;;;1;;
rush;skynda;;;1;;
rush;springa fort;;;1;;
saunter;jag vet inte;har jag aldrig hört;;0;;
saunter;jag vet inte;ingen aning;;0;;
saunter;jag vet inte;osäker;;0;;
saunter;jag vet inte;;;0;;
saunter;vet inte;;;0;;
scoop;jag vet inte;;;0;;
scoop;skopa;;;1;;
scoop;skyffla;jag tror skyffla eller nåt sånt;;1;;
scoop;skyffla;;;1;;
scoop;sleva upp;sleva upp, ta från typ glass tar och sätter in i mindre skål, va heter det på svenska?? Man gör det med glass i alla fall.. Jag vet inte, jag kommer inte på vad det heter på svenska. Hälla upp skulle jag säga, men inte med vatten. Typ sleva upp men det låter för vulgärt.;;1;;
scoop;överblicka;;;0;;
scrape;jag vet inte;;;0;;
scrape;skrapa;kanske;;1;;
scrape;skrapa;;;1;;
scrape;skrapa, rispa;;;1;;
scratch;jag vet inte;;;0;;
scratch;klia;"""riva, klösa. Nej klia""";;1;;
scratch;klia;;;1;;
scratch;klia, skrapa;klia, skrapa möjligen;;1;;
scratch;klia, skrapa;;;1;;
scratch;repa;;;1;;
scratch;skrapa;;;1;;
scrub;jag vet inte;;;0;;
scrub;klia;;;0;;
scrub;rengöra;;;1;;
scrub;skrapa;skrapa tror jag;;0;;
scrub;skrubba;en städterm, typ att skrubba en gryta eller nånting som är väldigt skitigt;;1;;
scrub;skrubba;jag kanske bara hittar på jag vet inte;;1;;
scrub;skrubba;;;1;;
seize;beslagta;;;1;;
seize;dra;jag tror att det betyder dra;;1;;
seize;erövra;;;0;;
seize;fånga;jag tänker typ fånga men jag vet inte;;1;;
seize;fånga;;;1;;
seize;gripa;;;1;;
seize;ingen aning;;;0;;
seize;jag vet inte;;;0;;
shake;skaka;;;1;;
shamble;jag vet inte;;;0;;
shamble;vet inte;;;0;;
sign;signera;;;1;;
sign;signera, skriva under;;;1;;
sign;skriva under, signera;;;1;;
skate;jag vet inte;;;0;;
skate;skejta;;;1;;
skate;åka skateboard, skidor, snowboard;åka skateboard, skidor, snowboard tror jag också;;1;;
skate;åka skridskor;;;1;;
skate;åka skridskor, skejta;;;1;;
skate;åka skridskor, åka skateboard;;;1;;
skim;jag vet inte;ingen aning;;0;;
skim;jag vet inte;men tror att det varken har med armar eller ben att göra;;0;;
skim;jag vet inte;;;0;;
skim;skumläsa;jag skulle gissa på skumläsa, läsa över ytligt;;1;;
skim;skumma;;;1;;
skim;skumma av;;;1;;
skim;sno;jag är inte säker men … sno;;1;;
skim;ta av det översta lagret av något;;;1;;
skip;hoppa;"""ett litet hopp eeh hoppa""";;1;;
skip;hoppa;typ;;1;;
skip;hoppa;;;1;;
skip;hoppa över;;;1;;
skip;hoppa över, hoppa;;;1;;
skip;jag vet inte;kommer inte på vad det betyder;;0;;
skip;jag vet inte;;;0;;
skip;skippa;;;1;;
skip;skutta;;;1;;
slap;jag vet inte;;;0;;
slap;slå;;;1;;
slap;slå med öppen hand;;;1;;
slap;slå till;;;1;;
slap;slå, lavetta;;;1;;
slap;örfila;;ppt pressed wrong: wants 7 on hand-related, and 1 on foot-related;1;;
slap;örfila;;;1;;
slide;glida;jag tror glida;;1;;
slide;glida;;;1;;
slide;halka, glida;;;1;;
slide;jag vet inte;;;0;;
slide;skjuta något åt något håll;;;1;;
slide;slida, halka;;;1;;
slip;halka;;;1;;
slip;halka, slinta;;;1;;
slip;jag vet inte;;;0;;
slip;snubbla på;;;1;;
slip;snubbla, glida;;;1;;
slip;snubbla, halka;;;1;;
slither;halka;inte säker men jag tror det har med halka att göra;;1;;
slither;jag vet inte;har jag aldrig hört;;0;;
slither;jag vet inte;;;0;;
slither;slingra sig;;;1;;
slither;slinta;;;1;;
snatch;fånga;;;1;;
snatch;jag vet inte;det är nåt med armar men jag vet inte vad;;0;;
snatch;jag vet inte;inte helt säker;;0;;
snatch;jag vet inte;;;0;;
snatch;sno;;;1;;
snatch;sno till sig;;;1;;
snatch;sno åt sig, ta ngt snabbt;;;1;;
snatch;ta nåt;;;1;;
snatch;ta, sno åt sig;inte säker;;1;;
snatch;ta, stjäla;typ;;1;;
sneak;jag vet inte;;;0;;
sneak;smyga;;;1;;
sneak;snoka, kika;;;0;;
sprint;jag vet inte;;;0;;
sprint;rusa;;;0.5;;
sprint;springa;sprint är väl ...ett ord för springa;;0.5;;
sprint;springa;;;0.5;;
sprint;springa fort;;;1;;
sprint;springa snabbt;nånting med springa snabbt att göra;;1;;
sprint;springa snabbt;;;1;;
sprint;springa snabbt, spurta;;;1;;
sprint;springa, sprinta;;;1;;
sprint;sprinta;;;1;;
sprint;spurta;;;1;;
squat;benböj;;;-99;noun instead of verb;
squat;benböj, göra benböj;;;1;;
squat;benböja;;;1;;
squat;benhävning, benhäva sig;;;1;;
squat;bo illegalt, att vara husockupant;;;-99;correct but not the meaning we were looking for;
squat;böja på benen;vet inte exakt nånting med att böja på benen;;1;;
squat;gå ner på huk, huka;;;1;;
squat;huka sig;;;1;;
squat;jag vet inte;"""squatta... Jag vet inte""";;0;;
squat;jag vet inte;;;0;;
squat;sätta sig på huk;;;1;;
squeeze;jag vet inte;;;0;;
squeeze;klämma;;;1;;
squeeze;krama;;;1;;
squeeze;pressa;;;1;;
squeeze;trycka;;;1;;
squeeze;trycka, vrida;;;1;;
stab;hugga;;;1;;
stab;hugga med en kniv till exempel;;;1;;
stab;jag vet inte;;;0;;
stab;knivhugga;;;1;;
stagger;avvakta;;;0;;
stagger;hacka, hugga;nånting med hacka eller hugga tror jag;;0;;
stagger;jag vet inte;;;0;;
stagger;kämpa;;;0;;
stagger;pula, påla;;;0;;
stagger;stappla;kanske;;1;;
stagger;vackla;typ;;1;;
stamp;frankera;;;-99;correct but not the meaning we were looking for;
stamp;jag vet inte;;;0;;
stamp;stampa;""" jag tänkte stampa men det kan ju vara stämpla, då är det ju fel""";;1;;
stamp;stampa;kanske jag vet inte;;1;;
stamp;stampa;;;1;;
stamp;stämpla;om jag inte har helt fel;;-99;correct but not the meaning we were looking for;
stamp;stämpla;;;-99;correct but not the meaning we were looking for;
stand;stå;;;1;;
stand;stå, stå upp;;;1;;
step;gå;;;1;;
step;gå, ta steg, stega;;;1;;
step;kliva;;;1;;
step;kliva, ta ett steg;;;1;;
step;steg;;;-99;noun instead of verb;
step;steg in;;;-99;"this culd be interpreted as the correct verb that is inflected in the past tense. However, adding the particle ""in"" makes the translation a bit off. ";
step;stega;;;1;;
step;stiga;;;1;;
step;ta ett steg;;;1;;
stir;blanda;typ;;0;;
stir;hälla;;;0;;
stir;jag vet inte;;;0;;
stir;röra;;;1;;
stir;röra om;;;1;;
stir;röra runt;;;1;;
stir;stirra;;;0;;
stomp;jag vet inte;jag tror det har med ben och fötter att göra;;0;;
stomp;jag vet inte;;;0;;
stomp;stampa;kan man väl göra med potatis också?;;1;;
stomp;stampa;tror jag;;1;;
stomp;stampa;;;1;;
straddle;att kliva på typ en häst eller en cykel;;;1;;
straddle;grensla;;;1;;
straddle;jag vet inte;;;0;;
straddle;vet inte;strosa kanske;;0;;
straddle;;är något ord för att gå;;0;;
stray;dröja sig kvar;;;0;;
stray;gå;typ;;0.5;;
stray;gå;typ att... Ja men typ gå;;0.5;;
stray;gå omkring men inte snabbt;en synonym för att gå;;1;;
stray;jag vet inte;;;0;;
stray;strosa;;;1;;
stray;strö;inte säker men tror det har med strö att göra;;0;;
stray;ströva;;;1;;
stray;vandra iväg, strosa;;;1;;
stride;förflytta sig framåt;;;0.5;;
stride;jag vet inte;jag vet inte exakt, nånting som har med att ta sig fram på benen att göra;;0;;
stride;jag vet inte;man är ute och går;;0;;
stride;jag vet inte;;;0;;
stride;promenera, gå;kanske;;0.5;;
stride;promenera, gå, strosa;kanske;;0.5;;
stride;skrida;;;0.5;;
stride;strida;;;0;;
stroll;flanera, gå mysigt;typ;;1;;
stroll;gå;;;0.5;;
stroll;gå omkring;;;0.5;;
stroll;gå, spatsera, lunka;det är en synonym till gå;;1;;
stroll;jag vet inte;;;0;;
stroll;promenera;;;1;;
stroll;strosa;;;1;;
stroll;vandra, promenera;typ vandra… promenera kanske;;1;;
strut;gå konstigt;känns som att det är någon som går konstigt, jag vet inte hur;;0.5;;
strut;gå, spatsera;typ;;0.5;;
strut;jag vet inte;;;0;;
strut;spatsera;;;0.5;;
strut;strosa;framåt på något sätt;;0;;
strut;strutta;osäker;;1;;
strut;strutta;;;1;;
stumble;fumla;;;0;;
stumble;halta lite grann;;;1;;
stumble;jag vet inte;;;0;;
stumble;ostadig i benen;ostadigt i benen men kommer inte på den exakta översättningen;;0;;
stumble;snubbla;;;1;;
stumble;snubbla, snava;;;1;;
stumble;vackla;;;1;;
sway;jag vet inte;;;0;;
sway;svaja;;;1;;
sway;svassa;;;0;;
sway;svinga;jag tror det betyder svinga;;0;;
sway;svinga;;;0;;
sway;sväva ;eller nåt man gör när man dansar typ;;0;;
sway;sväva, flyga;;;0;;
switch;byta;;;1;;
switch;jag vet inte;;;0;;
switch;slå av/på, byta, knäppa;"""knäppa kanske""";;1;;
switch;slå på;jag är inte säker men jag gissar på slå på;;1;;
switch;stänga av, ändra;;;1;;
switch;växla;;;1;;
switch;ändra;;;1;;
throw;jag vet inte;;;0;;
throw;kasta;;;1;;
tiptoe;gå på tå;;;1;;
tiptoe;jag vet inte;;;0;;
tiptoe;smyga;kanske;;1;;
tiptoe;smyga;;;1;;
tiptoe;smyga på tå;;;1;;
tiptoe;stå på tå;;;1;;
tiptoe;tassa;;;1;;
tiptoe;tassa, gå på tå;;;1;;
tiptoe;trippa;;;1;;
toddle;jag vet inte;;;0;;
toddle;krypa;;;0;;
toddle;skaka om, skaka;;;0;;
toddle;stappla;"""det måste ju ha med små barn att göra""";;0;;
toddle;ta sig fram lite ostadigt;kommer inte exakt på något men att ta sig fram lite ostadigt;;0.5;;
toddle;;instabil, benrelaterat tror jag;;0;;
toss;dra;dra tror jag;;0;;
toss;dra ;;;0;;
toss;jag vet inte;det är iaf fotrelaterat, men jag vet inte vad det betyder;;0;;
toss;jag vet inte;;;0;;
toss;kasta;;;1;;
toss;slänga;;;1;;
toss;smyga;;;0;;
totter;jag vet inte;osäker men jag tror det har mer med armar än med ben att göra;;0;;
totter;jag vet inte;;;0;;
totter;promenera;jag vet inte känns som att typ promenera;;0;;
totter;vet inte;;;0;;
traipse;ingen aning;;;0;;
traipse;jag vet inte;ingen aning;;0;;
traipse;jag vet inte;inte en aning;;0;;
traipse;jag vet inte;osäker men tror att det har med ben att göra;;0;;
traipse;jag vet inte;;;0;;
traipse;trippa;fast jag vet inte;;0;;
traipse;vet inte;;;0;;
tramp;jag vet inte;osäker men tror att det har med ben att göra;;0;;
tramp;jag vet inte;;;0;;
tramp;stå på, trampa på;;;1;;
tramp;trampa;kanske;;1;;
tramp;trampa;;;1;;
trample;jag vet inte;;;0;;
trample;trampa;"""jag vet inte vad det är men det låter typ som trampa osäker""";;1;;
trample;trampa;;;1;;
trample;vet inte;;;0;;
tread;beträda, stå på;;;0.5;;
tread;gå försiktigt;typ;;0.5;;
tread;ingen aning;;;0;;
tread;jag vet inte;;;0;;
tread;smyg;;;0;;
tread;tråda;;;0;;
tread;trä;tror jag;;0;;
tread;trä en tråd i en nål;;;0;;
tread;trä på nånting;;;0;;
trek;hajka;också typ hajka;;1;;
trek;hajka;;;1;;
