"expName","date","participant","itemID","item","correct_resp","resp","correct","RT"
"lextale","2018_Sep_17_1348",810,0,"platery","n","y",0,3.27057765563
"lextale","2018_Sep_17_1348",810,0,"denial","y","y",1,1.44250805136
"lextale","2018_Sep_17_1348",810,0,"generic","y","y",1,1.17423112468
"lextale","2018_Sep_17_1348",810,1,"mensible","n","n",1,1.49286450038
"lextale","2018_Sep_17_1348",810,2,"scornful","y","n",0,2.09539233889
"lextale","2018_Sep_17_1348",810,3,"stoutly","y","y",1,1.61061101086
"lextale","2018_Sep_17_1348",810,4,"ablaze","y","n",0,1.24046074636
"lextale","2018_Sep_17_1348",810,5,"kermshaw","n","n",1,1.09045503701
"lextale","2018_Sep_17_1348",810,6,"moonlit","y","y",1,1.74336579694
"lextale","2018_Sep_17_1348",810,7,"lofty","y","y",1,1.6101680919
"lextale","2018_Sep_17_1348",810,8,"hurricane","y","y",1,1.29032765335
"lextale","2018_Sep_17_1348",810,9,"flaw","y","y",1,0.771803091107
"lextale","2018_Sep_17_1348",810,10,"alberation","n","n",1,1.61045770795
"lextale","2018_Sep_17_1348",810,11,"unkempt","y","n",0,1.07364545226
"lextale","2018_Sep_17_1348",810,12,"breeding","y","y",1,0.82088254271
"lextale","2018_Sep_17_1348",810,13,"festivity","y","y",1,2.09627225016
"lextale","2018_Sep_17_1348",810,14,"screech","y","y",1,1.56131227288
"lextale","2018_Sep_17_1348",810,15,"savoury","y","y",1,1.22329240119
"lextale","2018_Sep_17_1348",810,16,"plaudate","n","n",1,0.989799430014
"lextale","2018_Sep_17_1348",810,17,"shin","y","y",1,0.90651248925
"lextale","2018_Sep_17_1348",810,18,"fluid","y","y",1,1.29260230499
"lextale","2018_Sep_17_1348",810,19,"spaunch","n","n",1,0.871386763085
"lextale","2018_Sep_17_1348",810,20,"allied","y","y",1,1.22473771572
"lextale","2018_Sep_17_1348",810,21,"slain","y","n",0,0.972786363311
"lextale","2018_Sep_17_1348",810,22,"recipient","y","y",1,1.87804042534
"lextale","2018_Sep_17_1348",810,23,"exprate","n","n",1,0.838910648506
"lextale","2018_Sep_17_1348",810,24,"eloquence","y","n",0,1.42603549594
"lextale","2018_Sep_17_1348",810,25,"cleanliness","y","y",1,0.704879260131
"lextale","2018_Sep_17_1348",810,26,"dispatch","y","y",1,0.721850445112
"lextale","2018_Sep_17_1348",810,27,"rebondicate","n","n",1,1.20772820501
"lextale","2018_Sep_17_1348",810,28,"ingenious","y","y",1,0.672206775593
"lextale","2018_Sep_17_1348",810,29,"bewitch","y","y",1,1.49289057768
"lextale","2018_Sep_17_1348",810,30,"skave","n","n",1,1.02370426447
"lextale","2018_Sep_17_1348",810,31,"plaintively","y","n",0,1.10828440218
"lextale","2018_Sep_17_1348",810,32,"kilp","n","n",1,0.804658511848
"lextale","2018_Sep_17_1348",810,33,"interfate","n","y",0,0.991020321722
"lextale","2018_Sep_17_1348",810,34,"hasty","y","y",1,2.9357368437
"lextale","2018_Sep_17_1348",810,35,"lengthy","y","y",1,0.738674648954
"lextale","2018_Sep_17_1348",810,36,"fray","y","n",0,0.855487118013
"lextale","2018_Sep_17_1348",810,37,"crumper","n","n",1,0.754896309154
"lextale","2018_Sep_17_1348",810,38,"upkeep","y","n",0,0.823102669092
"lextale","2018_Sep_17_1348",810,39,"majestic","y","y",1,0.619973551298
"lextale","2018_Sep_17_1348",810,40,"magrity","n","n",1,0.905541307429
"lextale","2018_Sep_17_1348",810,41,"nourishment","y","y",1,0.939365144213
"lextale","2018_Sep_17_1348",810,42,"abergy","n","n",1,1.27610485761
"lextale","2018_Sep_17_1348",810,43,"proom","n","n",1,1.00673149905
"lextale","2018_Sep_17_1348",810,44,"turmoil","y","n",0,0.923411368991
"lextale","2018_Sep_17_1348",810,45,"carbohydrate","y","y",1,1.69357435606
"lextale","2018_Sep_17_1348",810,46,"scholar","y","y",1,0.721402784819
"lextale","2018_Sep_17_1348",810,47,"turtle","y","y",1,0.637335500647
"lextale","2018_Sep_17_1348",810,48,"fellick","n","n",1,1.02194760281
"lextale","2018_Sep_17_1348",810,49,"destription","n","n",1,1.02337395202
"lextale","2018_Sep_17_1348",810,50,"cylinder","y","y",1,0.738224617997
"lextale","2018_Sep_17_1348",810,51,"censorship","y","y",1,1.72656648506
"lextale","2018_Sep_17_1348",810,52,"celestial","y","y",1,0.754997852575
"lextale","2018_Sep_17_1348",810,53,"rascal","y","n",0,1.07403266063
"lextale","2018_Sep_17_1348",810,54,"purrage","n","n",1,0.938237498602
"lextale","2018_Sep_17_1348",810,55,"pulsh","n","n",1,0.838793695773
"lextale","2018_Sep_17_1348",810,56,"muddy","y","n",0,0.738326161418
"lextale","2018_Sep_17_1348",810,57,"quirty","n","n",1,1.05692950872
"lextale","2018_Sep_17_1348",810,58,"pudour","n","n",1,1.55997679911
"lextale","2018_Sep_17_1348",810,59,"listless","y","n",0,1.47614974217
"lextale","2018_Sep_17_1348",810,60,"wrought","y","y",1,0.92266105399
