"expName","date","participant","trial","verb","target","distrOne","distrTwo","w1","w2","w3","corr_answer","answer","correct"
"verb_norming","2018_Jun_12_1246",903,51,"SLIP","halka","snava","ramla","ramla","halka","snava",2,2,1
"verb_norming","2018_Jun_12_1246",903,52,"NIP","nypa","peta","nudda","nypa","nudda","peta",1,1,1
"verb_norming","2018_Jun_12_1246",903,53,"KICK","sparka","knäa","tåa","knäa","tåa","sparka",3,3,1
"verb_norming","2018_Jun_12_1246",903,54,"STIR","röra","sleva","vispa","sleva","vispa","röra",3,3,1
"verb_norming","2018_Jun_12_1246",903,55,"PRANCE","kråma sig","promenera","traska","traska","kråma sig","promenera",2,2,1
"verb_norming","2018_Jun_12_1246",903,56,"BIND","binda","linda","vinda","linda","vinda","binda",3,3,1
"verb_norming","2018_Jun_12_1246",903,57,"PEEL","skala","rensa","plocka","plocka","rensa","skala",3,3,1
"verb_norming","2018_Jun_12_1246",903,58,"STAGGER","ragla","lunka","halka","ragla","lunka","halka",1,1,1
"verb_norming","2018_Jun_12_1246",903,59,"PLUCK","plocka","rensa","picka","rensa","plocka","picka",2,2,1
"verb_norming","2018_Jun_12_1246",903,60,"CLEAN","rengöra","rensa","plocka","rengöra","rensa","plocka",1,2,0
"verb_norming","2018_Jun_12_1246",903,61,"WALK","gå","promenera","marschera","promenera","marschera","gå",3,3,1
"verb_norming","2018_Jun_12_1246",903,62,"POKE","peta","trycka","knuffa","trycka","peta","knuffa",2,2,1
"verb_norming","2018_Jun_12_1246",903,63,"ROLL","vingla","snubbla","svassa","vingla","snubbla","svassa",1,2,0
"verb_norming","2018_Jun_12_1246",903,64,"RAMBLE","ströva","strutta","spurta","strutta","ströva","spurta",2,2,1
"verb_norming","2018_Jun_12_1246",903,65,"STAB","sticka","hacka","skära","skära","hacka","sticka",3,3,1
"verb_norming","2018_Jun_12_1246",903,66,"STRAY","ströva","vandra","promenera","vandra","promenera","ströva",3,3,1
"verb_norming","2018_Jun_12_1246",903,67,"SCUFF","hasa sig fram","dra sig fram","kasta sig fram","kasta sig fram","hasa sig fram","dra sig fram",2,2,1
"verb_norming","2018_Jun_12_1246",903,68,"CUT","skära","sticka","spetsa","skära","spetsa","sticka",1,1,1
"verb_norming","2018_Jun_12_1246",903,69,"RUSH","rusa","springa","löpa","springa","rusa","löpa",2,2,1
"verb_norming","2018_Jun_12_1246",903,70,"HOP","skutta","kliva","studsa","skutta","kliva","studsa",1,1,1
"verb_norming","2018_Jun_12_1246",903,71,"FOLD","vika ihop","knyta ihop","bunta ihop","bunta ihop","knyta ihop","vika ihop",3,3,1
"verb_norming","2018_Jun_12_1246",903,72,"KNEEL","knäböja","krypa","kräla","krypa","kräla","knäböja",3,3,1
"verb_norming","2018_Jun_12_1246",903,73,"GRAB","gripa tag i","fästa ihop","smälla till","gripa tag i","fästa ihop","smälla till",1,1,1
"verb_norming","2018_Jun_12_1246",903,74,"TREAD","trampa","stampa","klampa","klampa","stampa","trampa",3,3,1
"verb_norming","2018_Jun_12_1246",903,75,"STRUT","svassa","lunka","strosa","strosa","svassa","lunka",2,2,1
"verb_norming","2018_Jun_12_1246",903,76,"BOUNCE","studsa","dunka","kasta","studsa","kasta","dunka",1,1,1
"verb_norming","2018_Jun_12_1246",903,77,"BASH","slå","knuffa","trycka","trycka","slå","knuffa",2,2,1
"verb_norming","2018_Jun_12_1246",903,78,"WANDER","vandra","marschera","spatsera","marschera","vandra","spatsera",2,2,1
"verb_norming","2018_Jun_12_1246",903,79,"BRUSH","borsta","skrubba","putsa","borsta","putsa","skrubba",1,1,1
"verb_norming","2018_Jun_12_1246",903,80,"FLIT","rusa","hasa","svassa","hasa","svassa","rusa",3,1,0
"verb_norming","2018_Jun_12_1246",903,81,"SCRATCH","repa","riva","klösa","repa","klösa","riva",1,2,0
"verb_norming","2018_Jun_12_1246",903,82,"WIPE","torka","putsa","gnugga","torka","gnugga","putsa",1,1,1
"verb_norming","2018_Jun_12_1246",903,83,"SLAP","smälla till","knäppa fast","klämma åt","klämma åt","knäppa fast","smälla till",3,3,1
"verb_norming","2018_Jun_12_1246",903,84,"PUNCH","slå","knuffa","kasta","knuffa","kasta","slå",3,3,1
"verb_norming","2018_Jun_12_1246",903,85,"SKATE","åka skridskor","åka skidor","åka kälke","åka kälke","åka skidor","åka skridskor",3,3,1
"verb_norming","2018_Jun_12_1246",903,86,"PAT","klappa","slå","borsta","borsta","klappa","slå",2,2,1
"verb_norming","2018_Jun_12_1246",903,87,"SLIDE","glida","ramla","hasa","ramla","hasa","glida",3,3,1
"verb_norming","2018_Jun_12_1246",903,88,"INCH","röra sig långsamt framåt","dra sig snabbt tillbaka","hasa sig bakåt","hasa sig bakåt","dra sig snabbt tillbaka","röra sig långsamt framåt",3,3,1
"verb_norming","2018_Jun_12_1246",903,89,"TUG","rycka","pressa","slå","pressa","slå","rycka",3,3,1
"verb_norming","2018_Jun_12_1246",903,90,"TIPTOE","gå på tå","snava","sparka","gå på tå","snava","sparka",1,1,1
"verb_norming","2018_Jun_12_1246",903,91,"STEP","gå","klampa","traska","gå","traska","klampa",1,1,1
"verb_norming","2018_Jun_12_1246",903,92,"SCOOP","skyffla","dika","skrapa","dika","skyffla","skrapa",2,2,1
"verb_norming","2018_Jun_12_1246",903,93,"SNATCH","rycka till sig","knuffa ifrån sig","plocka åt sig","plocka åt sig","rycka till sig","knuffa ifrån sig",2,1,0
"verb_norming","2018_Jun_12_1246",903,94,"LIFT","lyfta","pressa","öka","pressa","lyfta","öka",2,2,1
"verb_norming","2018_Jun_12_1246",903,95,"PULL","dra","slänga","släpa","slänga","släpa","dra",3,3,1
"verb_norming","2018_Jun_12_1246",903,96,"GRIP","gripa om","hålla om","kasta om","hålla om","kasta om","gripa om",3,1,0
"verb_norming","2018_Jun_12_1246",903,97,"LEAP","hoppa","stega","kliva","hoppa","stega","kliva",1,1,1
"verb_norming","2018_Jun_12_1246",903,98,"TRAIPSE","traska","stappla","vandra","vandra","stappla","traska",3,3,1
"verb_norming","2018_Jun_12_1246",903,99,"PINCH","nypa","plocka","pensla","plocka","pensla","nypa",3,3,1
"verb_norming","2018_Jun_12_1246",903,100,"DANCE","dansa","snurra","svänga","dansa","snurra","svänga",1,1,1
"verb_norming","2018_Jun_12_1246",903,101,"DELVE","gräva","plöja","rensa","plöja","gräva","rensa",2,2,1
"verb_norming","2018_Jun_12_1246",903,102,"GLIDE","glida","hasa","snava","hasa","glida","snava",2,2,1
"verb_norming","2018_Jun_12_1246",903,103,"JUMP","hoppa","kliva","lyfta","kliva","lyfta","hoppa",3,3,1
"verb_norming","2018_Jun_12_1246",903,104,"CATCH","fånga","krama","omfamna","krama","omfamna","fånga",3,3,1
"verb_norming","2018_Jun_12_1246",903,105,"STRIDE","kliva","tassa","lunka","kliva","lunka","tassa",1,1,1
"verb_norming","2018_Jun_12_1246",903,106,"LIMP","halta","hasa","halka","hasa","halka","halta",3,3,1
"verb_norming","2018_Jun_12_1246",903,107,"SPRINT","spurta","springa","löpa","springa","spurta","löpa",2,2,1
"verb_norming","2018_Jun_12_1246",903,108,"TRIP","snubbla","stampa","stappla","snubbla","stampa","stappla",1,1,1
"verb_norming","2018_Jun_12_1246",903,109,"SEIZE","fånga","klämma","fästa","fästa","klämma","fånga",3,3,1
"verb_norming","2018_Jun_12_1246",903,110,"FILE","fila","putsa","riva","putsa","riva","fila",3,3,1
"verb_norming","2018_Jun_12_1246",903,111,"SKIM","skumma","vispa","sleva","sleva","skumma","vispa",2,3,0
