Word,trigram_logfreq
åla,4.336979775200655
badda,4.737568595790734
banka,4.951260073835268
binda,4.9277458932129585
borsta,5.434497944581341
bulta,4.3547982993835745
cykla,4.28120304804831
dansa,5.406737949142716
daska,5.132943947092748
dra,5.575620768520816
dunka,4.501726451454801
fånga,5.239360147862903
fatta,5.69716060899107
fila,4.681776682679225
flacka,4.9316718385319795
flanera,5.311175906529053
fläta,4.364477903737283
fly,5.022663395761671
fösa,3.6541871854093824
gå,NA
gestikulera,4.922226369504566
glida,4.655806156048898
gnida,4.31056975787346
gnugga,3.9444011524421407
grabba,4.97215041664041
gräva,4.4042326834246746
greppa,4.925293945470291
gripa,4.417322411986189
guppa,4.6317109588972345
hacka,4.9749585783950065
haffa,4.851260996531294
halka,4.576323402346305
halta,4.737925969732164
håva,3.19249122170179
hissa,5.1251435959141975
hiva,3.978839492609658
höja,4.175215521321123
hoppa,5.288908259442788
ila,4.59492266271699
irra,4.542194276046137
jogga,3.934331379664845
karva,4.876530724400351
kasta,5.3600369723333525
kela,5.116333200024627
kila,4.8541940140763655
klå,3.2898118391176214
klämma,4.998652598243955
klappa,5.1027325819567215
klättra,5.083462690122169
klia,4.861459351851918
klicka,5.361578601012367
klippa,4.956959972436917
kliva,5.15063577024984
klösa,4.215481958967397
knäa,3.0809679039402016
knacka,5.142624372248528
knalla,5.4399912025741894
knata,5.241073812401829
knipa,4.314810073698988
knivhugga,4.176637486394784
knoga,4.391801165328363
knycka,4.738852777208
koppla,4.944857490569335
krama,4.947972609873452
kratsa,5.096869924211277
kravla,4.722717968654603
krypa,3.9673356709032053
linda,5.229876058798786
linka,4.9602389659915564
löpa,3.9673481767654426
lunka,4.722613468211695
lyfta,4.275545379762207
marschera,4.958158424710015
nappa,5.077093415428591
norpa,4.252407036450736
nypa,3.3501454273462503
ösa,4.458954957021866
paddla,4.267945552093855
peta,5.122077037300225
pilla,5.504990139489666
pinna,5.264242324930626
piska,5.4167914197911875
plocka,4.990897806550148
polera,5.315686301252964
pressa,5.269285789412116
promenera,5.261441325962906
putsa,4.375697465431542
putta,4.693864362295508
rafsa,3.9445034606499996
ragla,4.648861954703548
raka,5.044055551554462
ränna,5.441391604472184
raspa,4.5479518911113574
repa,4.4329297382730335
rista,5.492833643021268
riva,4.926573075974061
ro,NA
röra,5.142360859320472
rota,4.763792171590781
rulla,5.26697487832971
rulta,4.391277560675664
rusa,4.531869970735966
rycka,5.2392691342164115
signera,5.1791303295539315
skaka,5.1779653501209895
skala,5.485529350552809
skära,4.886510729415611
skejta,4.546843472797052
skjuta,4.884193994296252
skopa,4.742187978174318
skrapa,4.864126128058656
skrida,5.0867881303093
skrubba,4.594237674340232
skumma,5.079736937822185
skura,4.866274703410107
skutta,5.0428515905854825
skyffla,3.817417393899914
skynda,4.757293797312568
slå,4.75926735386913
släntra,5.087238981858244
sleva,4.835323827476986
slinta,5.4380160253260925
slipa,4.498780110362876
slita,5.070500032359349
slunga,5.171565267707113
smälla,5.071496252981627
smeka,4.192536474544404
smyga,3.9554484224995825
snärta,5.096737384660352
snava,4.427690624554411
sno,4.119024820114783
snubbla,4.374252690439877
sparka,5.085113480371433
springa,5.447638296050202
sprinta,5.422478057671024
stå,5.29240450379568
städa,4.592762277749154
stampa,4.870366510351719
stappla,5.082647947006837
stega,4.951618142204544
stiga,5.340528562600973
stöta,4.489987176254618
stövla,4.375608286447947
ströva,4.676895320997216
strutta,5.096068047340269
studsa,4.374416874753807
svabba,4.38343676678051
svaja,4.11599781633824
svassa,4.926124869528424
svepa,3.9438817511679463
ta,NA
tåga,4.531467507871577
tassa,5.0960419847308955
torka,5.077631619315446
träda,4.860659582673628
trampa,4.970431021205272
traska,5.317573472276214
trippa,4.838412609644875
trumma,5.083385780512178
trycka,5.113998293222301
tvätta,5.05244626969097
tvinna,5.369853874037465
vackla,5.036963260920604
vada,5.288297858946223
vandra,5.514504987479625
vanka,5.017714294741229
vika,4.984560596715108
vingla,5.197819956398757
vira,4.395432152668629
