en	8413070
ar	7984511
er	7079080
et	6529637
in	6051343
an	6027686
tt	5345039
te	5220254
är	5212701
ll	4684300
ag	4529347
ja	4311890
at	4173398
ra	4154781
ta	3789633
om	3788810
ör	3677800
ha	3625210
st	3565911
ka	3551394
ig	3514220
va	3011684
nt	2970485
vi	2956197
me	2951409
sk	2865282
na	2735213
la	2680433
du	2666834
il	2643821
fö	2624576
ti	2551295
or	2494469
ng	2416876
ad	2348828
li	2312270
re	2305980
le	2285539
ge	2214251
nd	2156862
ch	2145373
oc	2014924
al	1950459
än	1816280
ns	1735463
nn	1713996
ne	1691483
el	1688625
ma	1681353
it	1673499
ve	1670126
ri	1657257
ke	1622050
da	1603028
ga	1554360
ck	1537258
ko	1500715
sa	1498404
is	1443179
ni	1406768
he	1329582
tr	1320824
ro	1202394
ba	1150725
rt	1149412
ho	1148209
mm	1124152
äl	1100534
vä	1089332
rs	1072225
ut	1071951
es	1058168
ss	1057151
as	1043920
ån	1043393
am	1036538
pp	1011254
si	1000075
av	945079
un	928520
pa	924517
to	848527
ol	830108
fa	816403
rä	814283
id	801078
dr	799487
no	782371
ak	775353
pe	772825
ku	747988
ot	723980
bl	720106
ur	718080
ul	693472
lä	675055
åg	656228
ät	650979
lt	645773
pr	621134
fi	606683
nä	604510
gr	602173
sl	599938
ic	591658
ik	590572
kl	583351
hu	583281
ju	581839
gå	579572
få	560462
rk	544381
ru	543128
nu	541975
lo	541922
ts	539011
jo	523186
bo	519967
tä	513973
öv	502083
us	491330
kr	483223
up	476884
iv	476470
sp	464398
nk	451922
hö	449419
ft	439037
ki	436984
ap	430766
lå	423276
ej	417391
lu	413583
hi	410489
ev	396754
kä	396186
og	391093
op	386091
rr	385485
dd	378872
yc	374850
ac	360192
ek	360102
ir	351664
ål	349689
bi	346724
po	330363
ly	326734
ff	318242
fl	317762
äm	312260
eg	309848
sv	305309
pl	304447
sn	304329
ry	295043
gg	293388
bb	291950
rö	291564
tu	280661
kn	274166
tv	272545
um	270755
hå	263928
ud	263334
lk	261870
mä	257893
ds	244690
ny	240169
tå	228577
ia	227093
lö	221505
sm	217467
gl	217452
my	205292
äd	193687
mp	193177
af	192915
öt	187164
gn	186426
pi	184141
ab	182872
äv	181433
rv	176794
ky	173787
yg	163304
dl	151649
ös	150455
tö	149345
gu	148145
ug	140158
ep	134244
vl	131927
yn	128672
bu	123715
sc	112997
ip	108059
öp	104082
öj	98708
ub	94814
pu	74973
yk	63383
kj	56386
yp	47927
aj	46206
rp	37706
cy	27770
åv	27689
jt	25479
yf	24807
fs	16210
vh	6982
äa	180
