"expName","date","participant","trial","verb","target","distrOne","distrTwo","w1","w2","w3","corr_answer","answer","correct","type"
"verb_norming","2018_Jun_08_1140",900,49,"tug","rycka","pressa","slå","pressa","slå","rycka",3,3,1,"arm"
"verb_norming","2018_Jun_08_1140",900,50,"stagger","ragla","lunka","halka","lunka","ragla","halka",2,2,1,"leg"
"verb_norming","2018_Jun_08_1140",900,51,"limp","halta","hasa","halka","halta","hasa","halka",1,1,1,"leg"
"verb_norming","2018_Jun_08_1140",900,52,"sway","vingla","tassa","ramla","ramla","tassa","vingla",3,3,1,"leg"
"verb_norming","2018_Jun_08_1140",900,53,"scrape","skrapa","rispa","klösa","klösa","rispa","skrapa",3,3,1,"arm"
"verb_norming","2018_Jun_08_1140",900,54,"step","gå","klampa","traska","klampa","gå","traska",2,3,0,"leg"
"verb_norming","2018_Jun_08_1140",900,55,"catch","fånga","krama","omfamna","krama","omfamna","fånga",3,3,1,"arm"
"verb_norming","2018_Jun_08_1140",900,56,"kick","sparka","knäa","tåa","tåa","knäa","sparka",3,3,1,"leg"
"verb_norming","2018_Jun_08_1140",900,57,"walk","gå","promenera","marschera","promenera","gå","marschera",2,1,0,"leg"
"verb_norming","2018_Jun_08_1140",900,58,"lift","lyfta","pressa","öka","pressa","öka","lyfta",3,3,1,"arm"
"verb_norming","2018_Jun_08_1140",900,59,"knock","knacka","krocka","klicka","knacka","klicka","krocka",1,1,1,"arm"
"verb_norming","2018_Jun_08_1140",900,60,"sprint","spurta","springa","löpa","löpa","spurta","springa",2,1,0,"leg"
"verb_norming","2018_Jun_08_1140",900,61,"clean","rengöra","rensa","plocka","rensa","rengöra","plocka",2,2,1,"arm"
"verb_norming","2018_Jun_08_1140",900,62,"snatch","rycka till sig","knuffa ifrån sig","plocka åt sig","plocka åt sig","rycka till sig","knuffa ifrån sig",2,2,1,"arm"
"verb_norming","2018_Jun_08_1140",900,63,"plod","lunka","pulsa","vingla","vingla","pulsa","lunka",3,2,0,"leg"
"verb_norming","2018_Jun_08_1140",900,64,"glide","glida","hasa","snava","hasa","glida","snava",2,2,1,"leg"
"verb_norming","2018_Jun_08_1140",900,65,"stab","sticka","hacka","skära","hacka","skära","sticka",3,3,1,"arm"
"verb_norming","2018_Jun_08_1140",900,66,"jump","hoppa","kliva","lyfta","kliva","lyfta","hoppa",3,3,1,"leg"
"verb_norming","2018_Jun_08_1140",900,67,"rush","rusa","springa","löpa","rusa","springa","löpa",1,1,1,"leg"
"verb_norming","2018_Jun_08_1140",900,68,"tiptoe","gå på tå","snava","sparka","sparka","snava","gå på tå",3,3,1,"leg"
"verb_norming","2018_Jun_08_1140",900,69,"tread","trampa","stampa","klampa","stampa","klampa","trampa",3,3,1,"leg"
"verb_norming","2018_Jun_08_1140",900,70,"stamp","stampa","kliva","skutta","skutta","stampa","kliva",2,2,1,"leg"
"verb_norming","2018_Jun_08_1140",900,71,"claw","klösa","nypa","rispa","nypa","rispa","klösa",3,3,1,"arm"
"verb_norming","2018_Jun_08_1140",900,72,"grate","riva","hugga","rispa","rispa","hugga","riva",3,1,0,"arm"
"verb_norming","2018_Jun_08_1140",900,73,"roll","vingla","snubbla","svassa","snubbla","svassa","vingla",3,2,0,"leg"
"verb_norming","2018_Jun_08_1140",900,74,"creep","krypa","knäböja","klättra","krypa","knäböja","klättra",1,1,1,"leg"
"verb_norming","2018_Jun_08_1140",900,75,"carve","tälja","hacka","riva","hacka","riva","tälja",3,3,1,"arm"
"verb_norming","2018_Jun_08_1140",900,76,"pace","gå fram och tillbaka","luffa runt","rusa fram","rusa fram","gå fram och tillbaka","luffa runt",2,3,0,"leg"
"verb_norming","2018_Jun_08_1140",900,77,"trot","trava","promenera","flanera","promenera","flanera","trava",3,2,0,"leg"
"verb_norming","2018_Jun_08_1140",900,78,"bash","slå","knuffa","trycka","trycka","slå","knuffa",2,3,0,"arm"
"verb_norming","2018_Jun_08_1140",900,79,"file","fila","putsa","riva","riva","fila","putsa",2,2,1,"arm"
"verb_norming","2018_Jun_08_1140",900,80,"traipse","traska","stappla","vandra","traska","vandra","stappla",1,1,1,"leg"
"verb_norming","2018_Jun_08_1140",900,81,"skip","hoppa","kliva","strutta","strutta","kliva","hoppa",3,1,0,"leg"
"verb_norming","2018_Jun_08_1140",900,82,"dance","dansa","snurra","svänga","svänga","dansa","snurra",2,2,1,"leg"
"verb_norming","2018_Jun_08_1140",900,83,"pinch","nypa","plocka","pensla","plocka","pensla","nypa",3,3,1,"arm"
"verb_norming","2018_Jun_08_1140",900,84,"hike","vandra","flanera","lunka","flanera","vandra","lunka",2,2,1,"leg"
"verb_norming","2018_Jun_08_1140",900,85,"scoop","skyffla","dika","skrapa","skyffla","dika","skrapa",1,1,1,"arm"
"verb_norming","2018_Jun_08_1140",900,86,"hack","hacka","skära","kåpa","skära","kåpa","hacka",3,3,1,"arm"
"verb_norming","2018_Jun_08_1140",900,87,"grab","gripa tag i","fästa ihop","smälla till","fästa ihop","gripa tag i","smälla till",2,2,1,"arm"
"verb_norming","2018_Jun_08_1140",900,88,"stroll","strosa","trava","marschera","strosa","trava","marschera",1,1,1,"leg"
"verb_norming","2018_Jun_08_1140",900,89,"skate","åka skridskor","åka skidor","åka kälke","åka skidor","åka kälke","åka skridskor",3,3,1,"leg"
"verb_norming","2018_Jun_08_1140",900,90,"stir","röra","sleva","vispa","sleva","röra","vispa",2,3,0,"arm"
"verb_norming","2018_Jun_08_1140",900,91,"trip","snubbla","stampa","stappla","stappla","stampa","snubbla",3,1,0,"leg"
"verb_norming","2018_Jun_08_1140",900,92,"ramble","ströva","strutta","spurta","spurta","ströva","strutta",2,2,1,"leg"
"verb_norming","2018_Jun_08_1140",900,93,"trudge","släpa sig fram","kasta sig fram","ta sig fram","ta sig fram","släpa sig fram","kasta sig fram",2,2,1,"leg"
"verb_norming","2018_Jun_08_1140",900,94,"sneak","smyga","hasa","glida","smyga","hasa","glida",1,1,1,"leg"
"verb_norming","2018_Jun_08_1140",900,95,"clap","klappa","knäppa","klämma","klappa","knäppa","klämma",1,1,1,"arm"
"verb_norming","2018_Jun_08_1140",900,96,"twine","tvinna","binda","knyta","knyta","binda","tvinna",3,3,1,"arm"
"verb_norming","2018_Jun_08_1140",900,97,"scratch","repa","riva","klösa","riva","klösa","repa",3,3,1,"arm"
"verb_norming","2018_Jun_08_1140",900,98,"wobble","vingla","ramla","glida","ramla","vingla","glida",2,2,1,"leg"
"verb_norming","2018_Jun_08_1140",900,99,"kneel","knäböja","krypa","kräla","knäböja","kräla","krypa",1,2,0,"leg"
"verb_norming","2018_Jun_08_1140",900,100,"flee","fly","lyfta","flyga","flyga","lyfta","fly",3,3,1,"leg"
"verb_norming","2018_Jun_08_1140",900,101,"pull","dra","slänga","släpa","slänga","släpa","dra",3,3,1,"arm"
"verb_norming","2018_Jun_08_1140",900,102,"stomp","stampa","stiga","kliva","kliva","stiga","stampa",3,3,1,"leg"
"verb_norming","2018_Jun_08_1140",900,103,"whip","piska","klappa","slå","piska","slå","klappa",1,1,1,"arm"
"verb_norming","2018_Jun_08_1140",900,104,"nip","nypa","peta","nudda","nudda","peta","nypa",3,1,0,"arm"
"verb_norming","2018_Jun_08_1140",900,105,"flit","rusa","hasa","svassa","svassa","hasa","rusa",3,2,0,"leg"
"verb_norming","2018_Jun_08_1140",900,106,"hop","skutta","kliva","studsa","kliva","studsa","skutta",3,3,1,"leg"
"verb_norming","2018_Jun_08_1140",900,107,"slither","hasa","glida","trilla","trilla","hasa","glida",2,2,1,"leg"
"verb_norming","2018_Jun_08_1140",900,108,"wash","tvätta","skura","sopa","tvätta","sopa","skura",1,1,1,"arm"
"verb_norming","2018_Jun_08_1140",900,109,"slap","smälla till","knäppa fast","klämma åt","klämma åt","smälla till","knäppa fast",2,3,0,"arm"
"verb_norming","2018_Jun_08_1140",900,110,"toss","slänga","fånga","gripa","fånga","slänga","gripa",2,3,0,"arm"
"verb_norming","2018_Jun_08_1140",900,111,"poke","peta","trycka","knuffa","knuffa","peta","trycka",2,1,0,"arm"
"verb_norming","2018_Jun_08_1140",900,112,"fold","vika ihop","knyta ihop","bunta ihop","vika ihop","knyta ihop","bunta ihop",1,1,1,"arm"
"verb_norming","2018_Jun_08_1550",901,1,"kick","sparka","knäa","tåa","tåa","knäa","sparka",3,2,0,"leg"
"verb_norming","2018_Jun_08_1550",901,2,"scrub","skrubba","sopa","skrapa","skrubba","sopa","skrapa",1,1,1,"arm"
"verb_norming","2018_Jun_08_1550",901,3,"trip","snubbla","stampa","stappla","stampa","snubbla","stappla",2,2,1,"leg"
"verb_norming","2018_Jun_08_1550",901,4,"wash","tvätta","skura","sopa","skura","tvätta","sopa",2,2,1,"arm"
"verb_norming","2018_Jun_08_1550",901,5,"switch","slå på/av","knäppa","nypa","nypa","slå på/av","knäppa",2,2,1,"arm"
"verb_norming","2018_Jun_08_1550",901,6,"stride","kliva","tassa","lunka","tassa","kliva","lunka",2,2,1,"leg"
"verb_norming","2018_Jun_08_1550",901,7,"wobble","vingla","ramla","glida","glida","vingla","ramla",2,2,1,"leg"
"verb_norming","2018_Jun_08_1550",901,8,"pat","klappa","slå","borsta","klappa","slå","borsta",1,1,1,"arm"
"verb_norming","2018_Jun_08_1550",901,9,"glide","glida","hasa","snava","glida","hasa","snava",1,1,1,"leg"
"verb_norming","2018_Jun_08_1550",901,10,"clean","rengöra","rensa","plocka","rensa","plocka","rengöra",3,3,1,"arm"
"verb_norming","2018_Jun_08_1550",901,11,"peel","skala","rensa","plocka","plocka","rensa","skala",3,3,1,"arm"
"verb_norming","2018_Jun_08_1550",901,12,"kneel","knäböja","krypa","kräla","kräla","knäböja","krypa",2,2,1,"leg"
"verb_norming","2018_Jun_08_1550",901,13,"slap","smälla till","knäppa fast","klämma åt","klämma åt","knäppa fast","smälla till",3,3,1,"arm"
"verb_norming","2018_Jun_08_1550",901,14,"tug","rycka","pressa","slå","rycka","slå","pressa",1,1,1,"arm"
"verb_norming","2018_Jun_08_1550",901,15,"fold","vika ihop","knyta ihop","bunta ihop","knyta ihop","bunta ihop","vika ihop",3,3,1,"arm"
"verb_norming","2018_Jun_08_1550",901,16,"dance","dansa","snurra","svänga","svänga","dansa","snurra",2,2,1,"leg"
"verb_norming","2018_Jun_08_1550",901,17,"crawl","kravla","huka","klättra","kravla","klättra","huka",1,1,1,"leg"
"verb_norming","2018_Jun_08_1550",901,18,"pull","dra","slänga","släpa","dra","slänga","släpa",1,1,1,"arm"
"verb_norming","2018_Jun_08_1550",901,19,"traipse","traska","stappla","vandra","traska","stappla","vandra",1,1,1,"leg"
