word,target,distrOne,distrTwo,corrAns,w1,w2,w3,category,category_lowercase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ArmLeg_loop.thisRepN,ArmLeg_loop.thisTrialN,ArmLeg_loop.thisN,ArmLeg_loop.thisIndex,key_resp_9.keys,key_resp_9.rt,key_resp_3.keys,key_resp_3.rt,key_resp_6.keys,key_resp_6.rt,key_resp_5.keys,key_resp_5.rt,key_resp_4.keys,key_resp_4.rt,key_resp_8.keys,key_resp_8.rt,rating.response,rating.rt,answer.keys,answer.corr,answer.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,space,142.203928803,,,,,,,,,,,,,,,,2018_Jun_19_1257,59.6199809192,verb_norming,001,911,
,,,,,,,,,,,,,,,,,,,,space,18.3481444136,,,,,,,,,,,,,,2018_Jun_19_1257,59.6199809192,verb_norming,001,911,
,,,,,,,,,,,,,,,,,,,,,,space,22.0713766418,,,,,,,,,,,,2018_Jun_19_1257,59.6199809192,verb_norming,001,911,
,,,,,,,,,,,,,,,,,,,,,,,,space,19.0860828844,,,,,,,,,,2018_Jun_19_1257,59.6199809192,verb_norming,001,911,
,,,,,,,,,,,,,,,,,,,,,,,,,,space,7.51390059971,,,,,,,,2018_Jun_19_1257,59.6199809192,verb_norming,001,911,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,5.14904393618,,,,,,2018_Jun_19_1257,59.6199809192,verb_norming,001,911,
NIP,nypa,peta,nudda,2,nudda,nypa,peta,Leg,leg,0,0,0,44,0,0,0,0,,,,,,,,,,,,,1,14.56,,,,2018_Jun_19_1257,59.6199809192,verb_norming,001,911,
NIP,nypa,peta,nudda,2,nudda,nypa,peta,Arm,arm,0,0,0,44,0,1,1,1,,,,,,,,,,,,,7,8.818,,,,2018_Jun_19_1257,59.6199809192,verb_norming,001,911,
NIP,nypa,peta,nudda,2,nudda,nypa,peta,,,0,0,0,44,,,,,,,,,,,,,,,,,,,2,1,7.39653514286,2018_Jun_19_1257,59.6199809192,verb_norming,001,911,
STRIDE,kliva,tassa,lunka,1,kliva,tassa,lunka,Leg,leg,0,1,1,88,0,0,0,0,,,,,,,,,,,,,7,11.629,,,,2018_Jun_19_1257,59.6199809192,verb_norming,001,911,
